Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,48,5.16,0.689,162,1458,1152,12888,5970,4296,1572,102,152,0.983,25,2,11,0
ATL,43,3.88,0.69,162,1458,1057,12954,6214,4318,1770,126,166,0.98,24,2,20,0
BAL,45,4.85,0.69,162,1458,1154,12927,5996,4309,1582,105,141,0.982,-7,-1,-24,-2
BOS,53,4.59,0.691,162,1458,1045,13110,6069,4370,1588,111,132,0.982,30,3,14,0
CHC,44,4.73,0.681,162,1458,1118,12930,5986,4310,1550,126,137,0.979,-54,-5,-43,-1
CHW,39,4.35,0.679,162,1458,1183,13017,6105,4339,1663,103,158,0.983,-42,-4,-61,-1
CIN,44,4.23,0.701,162,1458,1079,13077,6039,4359,1608,72,142,0.988,28,3,42,1
CLE,44,4.64,0.687,162,1458,1189,12897,6223,4299,1814,110,179,0.982,8,1,-5,0
COL,43,4.43,0.682,162,1458,1075,12978,6134,4326,1707,101,182,0.984,23,2,44,1
DET,41,4.59,0.688,162,1458,1069,12999,6110,4333,1668,109,171,0.982,39,4,1,0
FLA,57,4.43,0.681,162,1458,1142,12945,5940,4315,1502,123,130,0.979,-18,-2,-35,-3
HOU,48,4.5,0.68,162,1458,1136,12954,6018,4318,1597,103,135,0.983,-52,-5,-26,0
KCR,46,5.22,0.679,162,1458,1230,12930,6019,4310,1588,121,138,0.98,-20,-2,-93,-9
LAA,46,4.33,0.692,162,1458,1155,13044,6023,4348,1562,113,116,0.981,-36,-3,-14,-1
LAD,49,4.27,0.697,162,1458,1120,12975,6012,4325,1589,98,124,0.984,1,0,-65,-6
MIL,43,4.96,0.675,162,1458,1192,12951,5934,4317,1516,101,142,0.983,-33,-3,2,0
MIN,41,4.14,0.69,162,1458,1164,13074,6146,4358,1710,78,150,0.987,2,0,-11,0
NYM,47,4.02,0.691,162,1458,1143,13077,6111,4359,1665,87,159,0.986,33,3,43,1
NYY,43,4.28,0.709,162,1458,1082,12981,5918,4327,1522,69,161,0.988,14,1,37,1
OAK,49,3.86,0.711,162,1458,1122,12885,6098,4295,1704,99,147,0.984,33,3,78,7
PHI,42,3.95,0.698,162,1458,1178,13107,6139,4369,1687,83,158,0.986,24,2,3,0
PIT,52,5.35,0.671,162,1458,1170,12705,6016,4235,1654,127,120,0.979,-96,-9,-74,-7
SDP,40,3.59,0.703,162,1458,1090,13107,6067,4369,1626,72,141,0.988,37,3,82,1
SEA,46,4.31,0.705,162,1458,1242,12942,6081,4314,1657,110,145,0.982,31,3,14,0
SFG,42,3.6,0.707,162,1458,997,13149,5941,4383,1485,73,110,0.988,24,2,28,0
STL,42,3.96,0.694,162,1458,1038,13083,6332,4361,1872,99,172,0.984,5,0,50,1
TBR,36,4.01,0.709,162,1458,1065,13083,5945,4361,1499,85,134,0.986,35,3,43,4
TEX,48,4.24,0.704,162,1458,1130,13098,5970,4366,1499,105,133,0.982,5,0,-17,0
TOR,44,4.49,0.689,162,1458,1183,12966,6105,4322,1691,92,172,0.985,15,1,11,0
WSN,46,4.58,0.684,162,1458,1001,12915,6089,4305,1657,127,148,0.979,-8,-1,-8,-1
