Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,45,4.83,0.683,162,1458,1131,13029,6073,4343,1606,124,133,0.98,-4,0,1,0
ATL,45,3.96,0.686,162,1458,1121,13164,6198,4388,1714,96,159,0.985,19,2,-3,0
BAL,48,5.41,0.68,162,1458,1176,12861,6040,4287,1663,90,151,0.985,-5,-1,-8,0
BOS,52,4.54,0.678,162,1458,1126,12930,5844,4310,1452,82,121,0.986,-24,-2,-39,-1
CHC,45,4.17,0.698,161,1449,1060,13008,6014,4336,1573,105,144,0.983,2,0,-23,-2
CHW,44,4.52,0.689,162,1458,1149,12957,6101,4319,1669,113,158,0.981,-38,-3,-9,-1
CIN,45,4.46,0.704,162,1458,1118,13125,6060,4375,1596,89,161,0.985,74,7,35,3
CLE,51,5.34,0.681,162,1458,1189,12906,6050,4302,1651,97,170,0.984,-21,-2,-21,-2
COL,45,4.41,0.688,162,1458,1065,12945,6167,4315,1765,87,146,0.986,-12,-1,15,1
DET,44,4.57,0.694,163,1467,1082,13023,6045,4341,1616,88,164,0.985,37,3,33,3
FLA,44,4.73,0.686,162,1458,1086,13017,5914,4339,1469,106,129,0.982,-8,-1,-68,-6
HOU,42,4.75,0.677,162,1458,1147,12870,6087,4290,1719,78,161,0.987,-47,-4,5,0
KCR,43,5.2,0.675,162,1458,1102,12834,5964,4278,1569,117,159,0.98,-56,-5,-98,-9
LAA,46,4.7,0.687,162,1458,1159,13005,6043,4335,1623,85,174,0.986,0,0,72,1
LAD,46,3.77,0.713,162,1458,1139,13260,6097,4420,1594,83,134,0.986,24,2,15,1
MIL,45,5.05,0.689,162,1458,1165,12915,5993,4305,1590,98,149,0.984,-6,-1,-6,0
MIN,41,4.69,0.689,163,1467,1106,13077,6000,4359,1565,76,135,0.987,-36,-3,-46,-4
NYM,51,4.67,0.693,162,1458,1128,12834,5932,4278,1557,97,134,0.984,12,1,16,1
NYY,44,4.65,0.698,162,1458,1024,13050,5929,4350,1493,86,131,0.985,8,1,-22,0
OAK,50,4.7,0.682,162,1458,1116,13026,6039,4342,1592,105,155,0.983,-60,-5,-29,0
PHI,41,4.38,0.693,162,1458,1196,13101,6000,4367,1557,76,132,0.987,17,2,12,1
PIT,49,4.77,0.69,161,1449,1237,12765,6094,4255,1766,73,171,0.988,-14,-1,32,0
SDP,54,4.75,0.692,162,1458,1161,13056,6012,4352,1566,94,146,0.984,-32,-3,-9,-1
SEA,46,4.27,0.712,162,1458,1217,13074,5988,4358,1525,105,150,0.982,79,7,88,8
SFG,44,3.77,0.706,162,1458,1051,13014,5937,4338,1511,88,138,0.985,48,4,17,2
STL,42,3.95,0.694,162,1458,972,12966,6273,4322,1855,96,167,0.985,37,3,38,1
TBR,41,4.65,0.695,162,1458,1105,12846,5891,4282,1511,98,135,0.983,57,5,32,1
TEX,44,4.57,0.697,162,1458,1219,12912,6013,4304,1603,106,168,0.982,76,7,10,0
TOR,44,4.76,0.681,162,1458,1206,13059,6169,4353,1740,76,168,0.988,16,1,65,1
WSN,55,5.4,0.683,162,1458,1082,12819,6158,4273,1742,143,155,0.977,-17,-2,-46,-1
