Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,51,4.09,0.701,162,1458,1202,12990,6024,4330,1604,90,131,0.985,26,2,59,1
ATL,44,3.73,0.699,162,1458,1153,13317,6197,4439,1675,83,131,0.987,-10,-1,23,2
BAL,49,5.31,0.682,162,1458,1161,13020,6105,4340,1655,110,159,0.982,-59,-5,0,0
BOS,49,4.55,0.701,162,1458,1129,13116,5990,4372,1526,92,120,0.985,10,1,21,2
CHC,42,4.67,0.678,162,1458,1090,12909,5996,4303,1559,134,128,0.978,-5,0,-31,-3
CHW,42,4.36,0.685,162,1458,1159,13140,6126,4380,1667,79,129,0.987,-11,-1,-4,0
CIN,42,4.44,0.705,162,1458,1088,13209,6253,4403,1759,91,146,0.985,26,2,62,1
CLE,45,4.69,0.692,162,1458,1155,13080,6159,4360,1689,110,130,0.982,4,0,-30,-3
COL,55,4.78,0.688,162,1458,1121,13029,6199,4343,1758,98,156,0.984,-35,-3,23,0
DET,45,4.39,0.692,162,1458,1033,12960,6062,4320,1639,103,148,0.983,-4,0,14,1
FLA,44,4.33,0.694,162,1458,1111,13137,6025,4379,1553,93,126,0.985,-16,-1,-64,-6
HOU,47,4.91,0.68,162,1458,1125,12915,6053,4305,1632,116,140,0.981,-4,0,13,1
KCR,42,4.7,0.687,162,1458,1227,13062,6149,4354,1700,95,149,0.985,-18,-2,13,1
LAA,42,3.91,0.704,162,1458,1154,13185,6211,4395,1723,93,157,0.985,35,3,29,3
LAD,48,3.8,0.701,161,1449,1064,12888,5892,4296,1511,85,121,0.986,-6,-1,0,0
MIL,46,3.94,0.694,162,1458,1086,12975,6023,4325,1587,111,130,0.982,23,2,33,1
MIN,44,4.96,0.677,162,1458,1182,12795,6005,4265,1621,119,153,0.98,-65,-6,-50,-1
NYM,46,4.58,0.683,162,1458,1143,13032,6157,4344,1697,116,126,0.981,-84,-8,-61,-1
NYY,48,4.06,0.688,162,1458,1102,13125,6046,4375,1569,102,141,0.983,26,2,21,0
OAK,48,4.19,0.692,162,1458,1180,13029,5996,4343,1529,124,145,0.979,-33,-3,-42,-1
PHI,42,3.27,0.703,162,1458,1188,13293,6125,4431,1620,74,135,0.988,23,2,-55,-1
PIT,52,4.4,0.684,162,1458,1081,13044,6231,4348,1771,112,154,0.982,-18,-2,-41,-4
SDP,48,3.77,0.704,162,1458,1086,13044,6136,4348,1694,94,139,0.985,12,1,29,0
SEA,45,4.17,0.698,162,1458,1194,12897,6030,4299,1623,108,152,0.982,-14,-1,-3,0
SFG,43,3.57,0.701,162,1458,1008,13212,6165,4404,1657,104,127,0.983,11,1,30,0
STL,46,4.27,0.687,162,1458,960,13158,6317,4386,1815,116,167,0.982,-4,0,-2,0
TBR,40,3.79,0.724,162,1458,1102,13041,5939,4347,1519,73,138,0.988,52,5,57,5
TEX,45,4.18,0.704,162,1458,1130,12972,5990,4324,1552,114,164,0.981,38,4,-6,0
TOR,53,4.7,0.693,162,1458,1162,13128,6189,4376,1703,110,148,0.982,19,2,-5,0
WSN,43,3.99,0.697,161,1449,1098,13044,6143,4348,1691,104,145,0.983,45,4,26,2
