Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,50,4.4,0.693,162,1458,1107,13200,6183,4400,1697,86,146,0.986,37,3,61,6
ATL,60,4.69,0.681,162,1458,1139,12828,5959,4276,1593,90,186,0.985,-16,-2,-26,0
BAL,48,4.28,0.691,162,1458,1133,12912,5978,4304,1597,77,134,0.987,-9,-1,-9,-1
BOS,50,4.65,0.68,162,1458,1138,13035,6067,4345,1625,97,148,0.984,-16,-2,-3,0
CHC,50,3.75,0.695,162,1458,1053,13152,6164,4384,1669,111,120,0.982,2,0,19,2
CHW,40,4.33,0.673,162,1458,1151,13074,6041,4358,1582,101,159,0.983,-38,-3,-20,0
CIN,49,4.65,0.689,162,1458,1173,13080,6072,4360,1622,90,131,0.985,0,0,-8,-1
CLE,49,3.98,0.699,161,1449,1152,12894,5905,4298,1528,79,136,0.987,39,4,17,0
COL,51,5.21,0.668,162,1458,1107,12837,6192,4279,1818,95,171,0.985,-3,0,-17,-2
DET,47,4.99,0.69,161,1449,1103,13023,6048,4341,1621,86,165,0.986,-13,-1,7,0
HOU,46,3.81,0.701,162,1458,1094,12969,6025,4323,1617,85,131,0.986,13,1,38,4
KCR,45,3.96,0.701,162,1458,1172,13068,6055,4356,1611,88,138,0.985,18,2,52,1
LAA,51,4.17,0.701,162,1458,1058,12966,5906,4322,1491,93,108,0.984,13,1,9,1
LAD,55,3.67,0.692,162,1458,1084,13011,6139,4337,1727,75,133,0.988,23,2,1,0
MIA,51,4.19,0.694,162,1458,1152,12843,5946,4281,1588,77,162,0.987,9,1,34,3
MIL,49,4.55,0.679,162,1458,1081,12915,6099,4305,1678,116,164,0.981,3,0,-6,-1
MIN,44,4.32,0.687,162,1458,1151,12987,6052,4329,1637,86,150,0.986,-11,-1,-20,-2
NYM,49,3.78,0.697,162,1458,1095,13164,6075,4388,1599,88,131,0.986,-4,0,8,1
NYY,55,4.31,0.685,162,1458,1037,13119,6060,4373,1594,93,135,0.985,-32,-3,-39,-1
OAK,52,4.5,0.691,162,1458,1105,13002,6102,4334,1642,126,154,0.979,-20,-2,5,0
PHI,50,4.99,0.667,162,1458,1117,12927,6011,4309,1585,117,145,0.981,-58,-5,-96,-1
PIT,44,3.68,0.679,162,1458,994,13407,6459,4469,1868,122,177,0.981,-12,-1,23,2
SDP,46,4.51,0.683,162,1458,1070,12963,5979,4321,1566,92,138,0.985,-20,-2,-22,-2
SEA,51,4.48,0.688,162,1458,1059,13167,6168,4389,1685,94,155,0.985,-33,-3,-50,-5
SFG,48,3.87,0.706,162,1458,1155,12999,6085,4333,1674,78,145,0.987,44,4,34,3
STL,45,3.24,0.688,162,1458,1014,13182,6107,4394,1617,96,159,0.984,-10,-1,16,1
TBR,51,3.96,0.701,162,1458,1027,13080,5863,4360,1408,95,118,0.984,12,1,6,1
TEX,57,4.52,0.687,162,1458,1094,12984,6142,4328,1695,119,169,0.981,43,4,2,0
TOR,52,4.14,0.708,162,1458,1117,12969,6003,4323,1592,88,145,0.985,59,5,20,2
WSN,44,3.92,0.685,162,1458,1166,12912,5927,4304,1533,90,125,0.985,4,0,-7,0
