Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,45,4.07,0.687,162,1458,1090,12969,6035,4323,1604,108,140,0.982,-1,0,13,0
ATL,48,5.07,0.683,162,1458,1146,12972,5999,4324,1578,97,137,0.984,-35,-3,-22,-2
BAL,50,5.19,0.683,162,1458,1083,12969,6026,4323,1609,94,175,0.984,-9,-1,-19,-2
BOS,49,4.12,0.68,162,1458,1162,13341,5944,4447,1390,107,126,0.982,21,2,71,6
CHC,47,4.29,0.699,162,1458,921,13026,6093,4342,1656,95,139,0.984,30,3,23,2
CHW,51,5.06,0.7,162,1458,1184,12795,5920,4265,1541,114,157,0.981,17,2,-14,0
CIN,47,5.36,0.691,162,1458,1154,12870,5994,4290,1623,81,132,0.986,-28,-3,28,0
CLE,41,3.48,0.683,162,1458,1072,12966,5845,4322,1447,76,167,0.987,43,4,34,3
COL,41,4.67,0.683,162,1458,1142,12939,6120,4313,1730,77,168,0.987,12,1,7,0
DET,48,5.52,0.668,162,1458,1119,12783,5734,4261,1389,84,146,0.985,-47,-4,-68,-6
HOU,46,4.32,0.682,162,1458,1044,13014,5963,4338,1526,99,153,0.983,-16,-1,-10,-1
KCR,49,4.88,0.685,162,1458,1126,12939,5916,4313,1524,79,145,0.987,-14,-1,-41,-1
LAA,55,4.38,0.7,162,1458,1125,12966,5864,4322,1462,80,135,0.986,47,4,31,0
LAD,52,3.58,0.703,162,1458,1026,13002,5789,4334,1367,88,131,0.985,25,2,67,6
MIA,43,5.07,0.691,162,1458,1165,12984,5955,4328,1554,73,156,0.988,-9,-1,12,1
MIL,50,4.3,0.684,162,1458,1035,13011,6076,4337,1624,115,164,0.981,4,0,23,0
MIN,52,4.86,0.692,162,1458,1130,12924,5863,4308,1477,78,143,0.987,46,4,21,0
NYM,51,5.33,0.667,162,1458,1125,12912,5852,4304,1456,92,125,0.984,-66,-6,-73,-7
NYY,51,4.07,0.703,162,1458,1131,13038,5909,4346,1468,95,102,0.984,25,2,19,0
OAK,54,5.1,0.686,162,1458,1111,12879,6011,4293,1597,121,162,0.98,-41,-4,-48,-1
PHI,51,4.83,0.683,162,1458,1132,12969,5902,4323,1497,82,145,0.986,-39,-4,-56,-1
PIT,46,4.51,0.679,162,1458,1074,12966,6083,4322,1662,99,156,0.984,-26,-2,7,1
SDP,52,5.04,0.683,162,1458,1080,12876,6016,4287,1616,113,177,0.981,5,0,1,0
SEA,61,4.77,0.7,162,1458,1154,12963,5847,4322,1422,103,147,0.982,10,1,6,1
SFG,49,4.79,0.679,162,1458,1081,13068,5965,4356,1522,87,127,0.985,-18,-2,-43,-1
STL,47,4.35,0.687,162,1458,1100,13053,6039,4351,1594,94,164,0.984,22,2,33,3
TBR,53,4.35,0.701,162,1458,1129,13005,5868,4335,1433,100,129,0.983,26,2,59,1
TEX,51,5.04,0.695,162,1458,1131,12909,6027,4303,1616,108,173,0.982,50,5,-1,0
TOR,60,4.84,0.682,162,1458,1073,13185,6057,4395,1570,92,145,0.985,-28,-3,-17,0
WSN,49,4.15,0.698,162,1458,1118,13020,5860,4340,1434,86,139,0.985,-2,0,-43,-1
