Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,41,4.36,0.685,162,1458,1141,12912,5982,4304,1565,113,137,0.981,-19,-2,-31,-3
ATL,48,4.8,0.692,162,1458,1147,12966,6220,4322,1791,107,149,0.983,-6,-1,27,2
BAL,46,5.4,0.687,161,1449,1112,12798,6027,4266,1661,100,163,0.983,-3,0,-19,-2
BOS,46,4.28,0.698,162,1458,1092,13017,6021,4339,1597,85,149,0.986,22,2,13,0
CHC,42,4.17,0.703,161,1449,1046,13056,5896,4352,1445,99,118,0.983,4,0,-18,-2
CHW,38,4.47,0.686,163,1467,1110,13119,6211,4373,1730,108,155,0.983,-42,-4,-36,-3
CIN,47,4.94,0.671,162,1462,1063,13019,6008,4327,1567,114,156,0.981,-38,-4,-25,0
CLE,48,4.7,0.685,162,1458,1156,12933,6094,4311,1689,94,182,0.985,16,2,24,2
COL,49,5.07,0.677,162,1458,1123,13014,6250,4338,1816,96,176,0.985,-37,-3,-20,-2
DET,46,5.29,0.683,162,1458,1081,13005,6082,4335,1634,113,172,0.981,-19,-2,-29,-3
FLA,44,4.76,0.692,161,1449,1039,12918,5924,4306,1501,117,122,0.98,-4,0,-6,-1
HOU,40,4.61,0.697,161,1449,1111,12828,5939,4276,1596,67,142,0.989,14,1,14,1
KCR,43,4.82,0.688,162,1458,1076,13011,5981,4337,1548,96,159,0.984,10,1,-64,-6
LAA,41,4.3,0.691,162,1458,1119,13062,6091,4354,1646,91,159,0.985,25,2,-6,-1
LAD,46,4,0.69,162,1458,1027,13026,6238,4342,1795,101,138,0.984,27,3,-11,-1
MIL,42,4.25,0.7,162,1458,1211,13101,6166,4367,1698,101,160,0.984,22,2,44,4
MIN,39,4.57,0.684,163,1467,1185,13131,6167,4377,1682,108,168,0.982,-19,-2,-29,-3
NYM,49,4.41,0.699,162,1458,1129,13179,6028,4393,1552,83,126,0.986,9,1,31,3
NYY,51,4.49,0.682,162,1458,1095,12975,5994,4325,1586,83,141,0.986,10,1,-37,-1
OAK,49,4.29,0.699,161,1449,1059,12915,5976,4305,1573,98,169,0.984,23,2,58,5
PHI,38,4.2,0.695,162,1458,1055,13047,6137,4349,1698,90,142,0.985,39,4,78,7
PIT,47,5.46,0.675,162,1458,1167,13095,6302,4365,1830,107,179,0.983,-20,-2,-10,-1
SDP,59,4.72,0.694,162,1458,1155,13125,6086,4375,1626,85,149,0.986,-18,-2,-13,0
SEA,44,5.01,0.679,162,1458,1158,12918,6059,4306,1654,99,160,0.984,-15,-1,16,2
SFG,47,4.69,0.685,162,1458,1034,12978,5815,4326,1393,96,129,0.983,7,1,-32,0
STL,43,4.48,0.694,162,1458,979,13086,6264,4362,1817,85,156,0.986,48,4,69,6
TBR,45,4.14,0.708,162,1458,1141,13119,5958,4373,1495,90,153,0.985,26,2,14,1
TEX,54,5.97,0.666,162,1458,1115,12978,6134,4326,1676,132,191,0.978,-23,-2,-53,-5
TOR,40,3.77,0.703,162,1458,1154,13020,6123,4340,1699,84,137,0.986,19,2,52,5
WSN,50,5.12,0.686,161,1449,1106,12906,6003,4302,1578,123,143,0.98,-28,-3,-4,0
