Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,50,5.49,0.665,162,1458,1105,13062,6118,4354,1663,101,143,0.983,-34,-3,-17,0
ATL,59,4.84,0.692,161,1449,1164,13029,6009,4343,1565,101,134,0.983,11,1,-28,0
BAL,46,4.41,0.688,162,1458,1108,12888,5955,4296,1579,80,165,0.987,-12,-1,-29,0
BOS,50,4.28,0.695,162,1458,1143,12957,5821,4319,1427,75,139,0.987,23,2,49,5
CHC,45,3.43,0.728,162,1458,1017,13137,6115,4379,1635,101,116,0.983,95,9,96,1
CHW,48,4.41,0.687,162,1458,1223,13020,5971,4340,1536,95,148,0.984,0,0,-19,-2
CIN,52,5.27,0.694,162,1458,1151,12978,5977,4326,1549,102,142,0.983,0,0,-35,-1
CLE,48,4.2,0.696,161,1454,1032,13075,6034,4337,1608,89,126,0.985,72,7,20,2
COL,47,5.31,0.667,162,1458,1125,12864,6147,4288,1749,110,148,0.982,-3,0,5,0
DET,44,4.48,0.689,161,1449,1125,12852,5896,4284,1537,75,148,0.987,-37,-3,-59,-1
HOU,43,4.33,0.681,162,1458,1102,13212,6080,4404,1599,77,135,0.987,-12,-1,61,1
KCR,42,4.4,0.687,162,1458,1188,12960,5940,4320,1526,94,134,0.984,8,1,21,2
LAA,53,4.49,0.685,162,1458,1058,12792,5844,4264,1483,97,148,0.983,-19,-2,31,3
LAD,55,3.94,0.699,162,1458,1060,13077,5887,4359,1448,80,101,0.986,16,2,41,1
MIA,52,4.24,0.683,161,1449,1056,12915,5897,4305,1506,86,137,0.985,-10,-1,15,0
MIL,49,4.52,0.68,162,1458,1117,12909,6110,4303,1671,136,145,0.978,-1,0,7,0
MIN,49,5.49,0.662,162,1458,1192,12987,6065,4329,1610,126,172,0.979,-72,-7,-57,-5
NYM,46,3.81,0.678,162,1458,1052,13023,5950,4341,1519,90,138,0.985,-11,-1,-13,-1
NYY,53,4.33,0.694,162,1458,1109,12855,5907,4285,1536,86,116,0.985,3,0,4,0
OAK,49,4.7,0.685,162,1458,1122,12900,6027,4300,1630,97,152,0.984,-57,-5,-82,-1
PHI,49,4.91,0.681,162,1458,1094,12933,5911,4311,1503,97,142,0.984,14,1,-30,0
PIT,54,4.68,0.676,162,1458,1037,13056,6208,4352,1745,111,172,0.982,-25,-2,-13,-1
SDP,58,4.75,0.687,162,1458,1107,12960,6052,4320,1623,109,165,0.982,-16,-1,-25,0
SEA,54,4.36,0.694,162,1458,1092,13113,6035,4371,1575,89,158,0.985,-1,0,-22,-2
SFG,45,3.9,0.702,162,1458,1135,13143,6092,4381,1639,72,136,0.988,46,4,59,1
STL,40,4.4,0.679,162,1458,996,13035,6199,4345,1747,107,169,0.983,-26,-2,4,0
TBR,48,4.4,0.687,162,1458,1156,12837,5783,4279,1410,94,129,0.984,-38,-4,14,0
TEX,52,4.67,0.692,162,1458,1105,12987,6081,4329,1655,97,190,0.984,43,4,0,0
TOR,49,4.11,0.703,162,1458,1087,13134,6088,4378,1622,88,144,0.986,13,1,43,1
WSN,42,3.78,0.7,162,1458,1147,13137,5877,4379,1425,73,142,0.988,43,4,-13,0
