Year,Tm,W,L,R/G,Runs,Hits,Stolen Bases,BA,Struck Out,TB,SV,Hits Allowed,Runs Allowed,Strike Outs,ERA,ER,Rtot,DefEff,Winner
2009,SDP,75,87,3.94,638,1315,82,0.242,1182,2065,45,1422,769,1187,4.37,704,-32,0.6920000000000001,0
2009,SEA,85,77,3.95,640,1430,89,0.258,1093,2228,49,1359,692,1043,3.87,625,79,0.7120000000000001,0
2009,SFG,88,74,4.06,657,1411,78,0.257,1158,2138,41,1268,611,1302,3.55,571,48,0.706,0
2009,STL,91,71,4.51,730,1436,75,0.263,1041,2268,43,1407,640,1049,3.66,586,37,0.6940000000000001,0
2009,TBR,84,78,4.96,803,1434,194,0.263,1229,2400,41,1421,754,1125,4.33,686,57,0.695,0
2009,TEX,87,75,4.84,784,1436,149,0.26,1253,2458,45,1432,740,1016,4.38,698,76,0.6970000000000001,0
2009,TOR,75,87,4.93,798,1516,73,0.266,1028,2508,25,1509,771,1181,4.47,720,16,0.6809999999999999,0
2009,WSN,59,103,4.38,710,1416,73,0.258,1208,2231,33,1533,874,911,5.0,791,-17,0.6829999999999999,0
2010,ARI,65,97,4.4,713,1366,86,0.25,1529,2275,35,1503,836,1070,4.81,765,25,0.6890000000000001,0
2010,ATL,91,71,4.56,738,1411,63,0.258,1140,2190,41,1326,629,1241,3.56,569,24,0.69,0
2010,BAL,66,96,3.78,613,1440,76,0.259,1056,2145,35,1508,785,1007,4.59,733,-7,0.69,0
2010,BOS,89,73,5.05,818,1511,68,0.268,1140,2546,44,1402,744,1207,4.2,679,30,0.691,0
2010,CHC,75,87,4.23,685,1414,55,0.257,1236,2213,40,1409,767,1268,4.18,668,-54,0.6809999999999999,0
2010,CHW,88,74,4.64,752,1467,160,0.268,922,2303,43,1471,704,1149,4.09,658,-42,0.679,0
2010,CIN,91,71,4.88,790,1515,93,0.272,1218,2432,43,1404,685,1130,4.01,648,28,0.701,0
2010,CLE,69,93,3.99,646,1362,91,0.248,1184,2076,34,1477,752,967,4.3,684,8,0.687,0
