,Tm,W,L,W-L%,GB
0,New York Yankees,95,67,0.586,--
1,Baltimore Orioles,93,69,0.574,2.0
2,Tampa Bay Rays,90,72,0.556,5.0
3,Toronto Blue Jays,73,89,0.451,22.0
4,Boston Red Sox,69,93,0.426,26.0
5,Detroit Tigers,88,74,0.5429999999999999,--
6,Chicago White Sox,85,77,0.525,3.0
7,Kansas City Royals,72,90,0.444,16.0
8,Cleveland Indians,68,94,0.42,20.0
9,Minnesota Twins,66,96,0.40700000000000003,22.0
10,Oakland Athletics,94,68,0.58,--
11,Texas Rangers,93,69,0.574,1.0
12,Los Angeles Angels of Anaheim,89,73,0.5489999999999999,5.0
13,Seattle Mariners,75,87,0.46299999999999997,19.0
14,Washington Nationals,98,64,0.605,--
15,Atlanta Braves,94,68,0.58,4.0
16,Philadelphia Phillies,81,81,0.5,17.0
17,New York Mets,74,88,0.457,24.0
18,Miami Marlins,69,93,0.426,29.0
19,Cincinnati Reds,97,65,0.599,--
20,St. Louis Cardinals,88,74,0.5429999999999999,9.0
21,Milwaukee Brewers,83,79,0.512,14.0
22,Pittsburgh Pirates,79,83,0.488,18.0
23,Chicago Cubs,61,101,0.377,36.0
24,Houston Astros,55,107,0.34,42.0
25,San Francisco Giants,94,68,0.58,--
26,Los Angeles Dodgers,86,76,0.531,8.0
27,Arizona Diamondbacks,81,81,0.5,13.0
28,San Diego Padres,76,86,0.469,18.0
29,Colorado Rockies,64,98,0.395,30.0
