,Tm,W,L,W-L%,GB
0,New York Yankees,87,74,0.54,--
1,Boston Red Sox,85,77,0.525,2.5
2,Toronto Blue Jays,83,79,0.512,4.5
3,Baltimore Orioles,74,88,0.457,13.5
4,Tampa Bay Devil Rays,69,92,0.429,18.0
5,Chicago White Sox,95,67,0.586,--
6,Cleveland Indians,90,72,0.556,5.0
7,Detroit Tigers,79,83,0.488,16.0
8,Kansas City Royals,77,85,0.475,18.0
9,Minnesota Twins,69,93,0.426,26.0
10,Oakland Athletics,91,70,0.565,--
11,Seattle Mariners,91,71,0.562,0.5
12,Anaheim Angels,82,80,0.506,9.5
13,Texas Rangers,71,91,0.43799999999999994,20.5
14,Atlanta Braves,95,67,0.586,--
15,New York Mets,94,68,0.58,1.0
16,Florida Marlins,79,82,0.491,15.5
17,Montreal Expos,67,95,0.414,28.0
18,Philadelphia Phillies,65,97,0.401,30.0
19,St. Louis Cardinals,95,67,0.586,--
20,Cincinnati Reds,85,77,0.525,10.0
21,Milwaukee Brewers,73,89,0.451,22.0
22,Houston Astros,72,90,0.444,23.0
23,Pittsburgh Pirates,69,93,0.426,26.0
24,Chicago Cubs,65,97,0.401,30.0
25,San Francisco Giants,97,65,0.599,--
26,Los Angeles Dodgers,86,76,0.531,11.0
27,Arizona Diamondbacks,85,77,0.525,12.0
28,Colorado Rockies,82,80,0.506,15.0
29,San Diego Padres,76,86,0.469,21.0
