,Tm,W,L,W-L%,GB
0,Detroit Tigers,104,58,0.642,--
1,Toronto Blue Jays,89,73,0.5489999999999999,15.0
2,New York Yankees,87,75,0.537,17.0
3,Boston Red Sox,86,76,0.531,18.0
4,Baltimore Orioles,85,77,0.525,19.0
5,Cleveland Indians,75,87,0.46299999999999997,29.0
6,Milwaukee Brewers,67,94,0.41600000000000004,36.5
7,Kansas City Royals,84,78,0.519,--
8,California Angels,81,81,0.5,3.0
9,Minnesota Twins,81,81,0.5,3.0
10,Oakland Athletics,77,85,0.475,7.0
11,Chicago White Sox,74,88,0.457,10.0
12,Seattle Mariners,74,88,0.457,10.0
13,Texas Rangers,69,92,0.429,14.5
14,Chicago Cubs,96,65,0.596,--
15,New York Mets,90,72,0.556,6.5
16,St. Louis Cardinals,84,78,0.519,12.5
17,Philadelphia Phillies,81,81,0.5,15.5
18,Montreal Expos,78,83,0.484,18.0
19,Pittsburgh Pirates,75,87,0.46299999999999997,21.5
20,San Diego Padres,92,70,0.568,--
21,Atlanta Braves,80,82,0.494,12.0
22,Houston Astros,80,82,0.494,12.0
23,Los Angeles Dodgers,79,83,0.488,13.0
24,Cincinnati Reds,70,92,0.43200000000000005,22.0
25,San Francisco Giants,66,96,0.40700000000000003,26.0
