,Tm,W,L,W-L%,GB
0,New York Yankees,103,58,0.64,--
1,Boston Red Sox,93,69,0.574,10.5
2,Toronto Blue Jays,78,84,0.48100000000000004,25.5
3,Baltimore Orioles,67,95,0.414,36.5
4,Tampa Bay Devil Rays,55,106,0.342,48.0
5,Minnesota Twins,94,67,0.584,--
6,Chicago White Sox,81,81,0.5,13.5
7,Cleveland Indians,74,88,0.457,20.5
8,Kansas City Royals,62,100,0.38299999999999995,32.5
9,Detroit Tigers,55,106,0.342,39.0
10,Oakland Athletics,103,59,0.636,--
11,Anaheim Angels,99,63,0.611,4.0
12,Seattle Mariners,93,69,0.574,10.0
13,Texas Rangers,72,90,0.444,31.0
14,Atlanta Braves,101,59,0.631,--
15,Montreal Expos,83,79,0.512,19.0
16,Philadelphia Phillies,80,81,0.49700000000000005,21.5
17,Florida Marlins,79,83,0.488,23.0
18,New York Mets,75,86,0.466,26.5
19,St. Louis Cardinals,97,65,0.599,--
20,Houston Astros,84,78,0.519,13.0
21,Cincinnati Reds,78,84,0.48100000000000004,19.0
22,Pittsburgh Pirates,72,89,0.447,24.5
23,Chicago Cubs,67,95,0.414,30.0
24,Milwaukee Brewers,56,106,0.34600000000000003,41.0
25,Arizona Diamondbacks,98,64,0.605,--
26,San Francisco Giants,95,66,0.59,2.5
27,Los Angeles Dodgers,92,70,0.568,6.0
28,Colorado Rockies,73,89,0.451,25.0
29,San Diego Padres,66,96,0.40700000000000003,32.0
