,Tm,W,L,W-L%,GB
0,Boston Red Sox,95,65,0.594,--
1,Baltimore Orioles,90,69,0.5660000000000001,4.5
2,New York Yankees,83,77,0.519,12.0
3,Cleveland Indians,79,80,0.49700000000000005,15.5
4,Milwaukee Brewers,68,94,0.42,28.0
5,Detroit Tigers,57,102,0.358,37.5
6,Oakland Athletics,98,64,0.605,--
7,Kansas City Royals,91,71,0.562,7.0
8,Texas Rangers,79,83,0.488,19.0
9,Minnesota Twins,76,83,0.478,20.5
10,Chicago White Sox,75,86,0.466,22.5
11,California Angels,72,89,0.447,25.5
12,Pittsburgh Pirates,92,69,0.5710000000000001,--
13,Philadelphia Phillies,86,76,0.531,6.5
14,New York Mets,82,80,0.506,10.5
15,St. Louis Cardinals,82,80,0.506,10.5
16,Chicago Cubs,75,87,0.46299999999999997,17.5
17,Montreal Expos,75,87,0.46299999999999997,17.5
18,Cincinnati Reds,108,54,0.667,--
19,Los Angeles Dodgers,88,74,0.5429999999999999,20.0
20,San Francisco Giants,80,81,0.49700000000000005,27.5
21,San Diego Padres,71,91,0.43799999999999994,37.0
22,Atlanta Braves,67,94,0.41600000000000004,40.5
23,Houston Astros,64,97,0.39799999999999996,43.5
