Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
37,1992,38,1075,27,Rockies,Y,Greg Tafoya (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Holbrook HS ,Holbrook,AZ
38,1992,39,1103,27,Rockies,Y,Keith Barnes (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Red Bank HS ,Hixson,TN
39,1992,40,1131,27,Rockies,Y,Neil Garrett (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Joliet West HS ,Joliet,IL
40,1992,41,1159,27,Rockies,N,Matt Chamberlain (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Louisiana State University ,Baton Rouge,LA
41,1992,42,1187,27,Rockies,N,Jason Weiss (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Nevada Union HS ,Grass Valley,CA
42,1992,43,1215,27,Rockies,Y,Bill Metzinger (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Cincinnati ,Cincinnati,OH
43,1992,44,1243,27,Rockies,N,Tony Dermendziev (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,San Jose City College ,San Jose,CA
44,1992,45,1271,27,Rockies,N,Jason Sessoyeff (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Clovis HS ,Clovis,CA
45,1992,46,1299,27,Rockies,Y,Jon Goodrich (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Santa Rosa Junior College ,Santa Rosa,CA
46,1992,47,1327,27,Rockies,N,Matt Pridgen (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Carl Hayden HS ,Phoenix,AZ
47,1992,48,1355,27,Rockies,N,Dan Butcher (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Diablo Valley College ,Pleasant Hill,CA
49,1992,49,1383,27,Rockies,Y,Lamarr Rogers (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,California State University Long Beach ,Long Beach,CA
50,1992,50,1411,27,Rockies,Y,Torry Zerilla (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Youngstown State University ,Youngstown,OH
51,1993,1,28,28,Rockies,Y,Jamey Wright (minors),RHP,9.1,384,443,1,0.144,0.357,719,97,130,4.81,1.54,2,HS,Westmoore HS ,Oklahoma City,OK
52,1993,2,70,28,Rockies,Y,Bryan Rekar (minors),RHP,1.8,36,55,0,0.145,0.385,131,25,49,5.62,1.52,0,4Yr,Bradley University ,Peoria,IL
53,1993,3,100,28,Rockies,Y,Joel Moore (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Bradley University ,Peoria,IL
