,Tm,W,L,W-L%,GB
0,New York Yankees,97,62,0.61,--
1,Baltimore Orioles,88,74,0.5429999999999999,10.5
2,Boston Red Sox,83,79,0.512,15.5
3,Cleveland Indians,81,78,0.509,16.0
4,Detroit Tigers,74,87,0.46,24.0
5,Milwaukee Brewers,66,95,0.41,32.0
6,Kansas City Royals,90,72,0.556,--
7,Oakland Athletics,87,74,0.54,2.5
8,Minnesota Twins,85,77,0.525,5.0
9,California Angels,76,86,0.469,14.0
10,Texas Rangers,76,86,0.469,14.0
11,Chicago White Sox,64,97,0.39799999999999996,25.5
12,Philadelphia Phillies,101,61,0.623,--
13,Pittsburgh Pirates,92,70,0.568,9.0
14,New York Mets,86,76,0.531,15.0
15,Chicago Cubs,75,87,0.46299999999999997,26.0
16,St. Louis Cardinals,72,90,0.444,29.0
17,Montreal Expos,55,107,0.34,46.0
18,Cincinnati Reds,102,60,0.63,--
19,Los Angeles Dodgers,92,70,0.568,10.0
20,Houston Astros,80,82,0.494,22.0
21,San Francisco Giants,74,88,0.457,28.0
22,San Diego Padres,73,89,0.451,29.0
23,Atlanta Braves,70,92,0.43200000000000005,32.0
