,Tm,W,L,W-L%,GB
0,Boston Red Sox,93,69,0.574,--
1,New York Yankees,91,71,0.562,2.0
2,Tampa Bay Rays,80,82,0.494,13.0
3,Toronto Blue Jays,76,86,0.469,17.0
4,Baltimore Orioles,75,87,0.46299999999999997,18.0
5,Cleveland Indians,102,60,0.63,--
6,Minnesota Twins,85,77,0.525,17.0
7,Kansas City Royals,80,82,0.494,22.0
8,Chicago White Sox,67,95,0.414,35.0
9,Detroit Tigers,64,98,0.395,38.0
10,Houston Astros,101,61,0.623,--
11,Los Angeles Angels,80,82,0.494,21.0
12,Seattle Mariners,78,84,0.48100000000000004,23.0
13,Texas Rangers,78,84,0.48100000000000004,23.0
14,Oakland Athletics,75,87,0.46299999999999997,26.0
15,Washington Nationals,97,65,0.599,--
16,Miami Marlins,77,85,0.475,20.0
17,Atlanta Braves,72,90,0.444,25.0
18,New York Mets,70,92,0.43200000000000005,27.0
19,Philadelphia Phillies,66,96,0.40700000000000003,31.0
20,Chicago Cubs,92,70,0.568,--
21,Milwaukee Brewers,86,76,0.531,6.0
22,St. Louis Cardinals,83,79,0.512,9.0
23,Pittsburgh Pirates,75,87,0.46299999999999997,17.0
24,Cincinnati Reds,68,94,0.42,24.0
25,Los Angeles Dodgers,104,58,0.642,--
26,Arizona Diamondbacks,93,69,0.574,11.0
27,Colorado Rockies,87,75,0.537,17.0
28,San Diego Padres,71,91,0.43799999999999994,33.0
29,San Francisco Giants,64,98,0.395,40.0
