,Tm,W,L,W-L%,GB
0,Baltimore Orioles,91,71,0.562,--
1,New York Yankees,89,73,0.5489999999999999,2.0
2,Boston Red Sox,84,78,0.519,7.0
3,Cleveland Indians,77,85,0.475,14.0
4,Milwaukee Brewers,76,86,0.469,15.0
5,Detroit Tigers,72,90,0.444,19.0
6,Oakland Athletics,90,72,0.556,--
7,Texas Rangers,84,76,0.525,5.0
8,Minnesota Twins,82,80,0.506,8.0
9,Chicago White Sox,80,80,0.5,9.0
10,Kansas City Royals,77,85,0.475,13.0
11,California Angels,68,94,0.42,22.0
12,Pittsburgh Pirates,88,74,0.5429999999999999,--
13,St. Louis Cardinals,86,75,0.534,1.5
14,Philadelphia Phillies,80,82,0.494,8.0
15,Montreal Expos,79,82,0.491,8.5
16,New York Mets,71,91,0.43799999999999994,17.0
17,Chicago Cubs,66,96,0.40700000000000003,22.0
18,Los Angeles Dodgers,102,60,0.63,--
19,Cincinnati Reds,98,64,0.605,4.0
20,Atlanta Braves,88,74,0.5429999999999999,14.0
21,Houston Astros,81,81,0.5,21.0
22,San Francisco Giants,72,90,0.444,30.0
23,San Diego Padres,60,102,0.37,42.0
