,Tm,W,L,W-L%,GB
0,New York Yankees,92,70,0.568,--
1,Baltimore Orioles,88,74,0.5429999999999999,4.0
2,Boston Red Sox,85,77,0.525,7.0
3,Toronto Blue Jays,74,88,0.457,18.0
4,Detroit Tigers,53,109,0.327,39.0
5,Cleveland Indians,99,62,0.615,--
6,Chicago White Sox,85,77,0.525,14.5
7,Milwaukee Brewers,80,82,0.494,19.5
8,Minnesota Twins,78,84,0.48100000000000004,21.5
9,Kansas City Royals,75,86,0.466,24.0
10,Texas Rangers,90,72,0.556,--
11,Seattle Mariners,85,76,0.528,4.5
12,Oakland Athletics,78,84,0.48100000000000004,12.0
13,California Angels,70,91,0.435,19.5
14,Atlanta Braves,96,66,0.593,--
15,Montreal Expos,88,74,0.5429999999999999,8.0
16,Florida Marlins,80,82,0.494,16.0
17,New York Mets,71,91,0.43799999999999994,25.0
18,Philadelphia Phillies,67,95,0.414,29.0
19,St. Louis Cardinals,88,74,0.5429999999999999,--
20,Houston Astros,82,80,0.506,6.0
21,Cincinnati Reds,81,81,0.5,7.0
22,Chicago Cubs,76,86,0.469,12.0
23,Pittsburgh Pirates,73,89,0.451,15.0
24,San Diego Padres,91,71,0.562,--
25,Los Angeles Dodgers,90,72,0.556,1.0
26,Colorado Rockies,83,79,0.512,8.0
27,San Francisco Giants,68,94,0.42,23.0
