,Tm,W,L,W-L%,GB
0,Detroit Tigers,98,64,0.605,--
1,Toronto Blue Jays,96,66,0.593,2.0
2,Milwaukee Brewers,91,71,0.562,7.0
3,New York Yankees,89,73,0.5489999999999999,9.0
4,Boston Red Sox,78,84,0.48100000000000004,20.0
5,Baltimore Orioles,67,95,0.414,31.0
6,Cleveland Indians,61,101,0.377,37.0
7,Minnesota Twins,85,77,0.525,--
8,Kansas City Royals,83,79,0.512,2.0
9,Oakland Athletics,81,81,0.5,4.0
10,Seattle Mariners,78,84,0.48100000000000004,7.0
11,Chicago White Sox,77,85,0.475,8.0
12,California Angels,75,87,0.46299999999999997,10.0
13,Texas Rangers,75,87,0.46299999999999997,10.0
14,St. Louis Cardinals,95,67,0.586,--
15,New York Mets,92,70,0.568,3.0
16,Montreal Expos,91,71,0.562,4.0
17,Philadelphia Phillies,80,82,0.494,15.0
18,Pittsburgh Pirates,80,82,0.494,15.0
19,Chicago Cubs,76,85,0.47200000000000003,18.5
20,San Francisco Giants,90,72,0.556,--
21,Cincinnati Reds,84,78,0.519,6.0
22,Houston Astros,76,86,0.469,14.0
23,Los Angeles Dodgers,73,89,0.451,17.0
24,Atlanta Braves,69,92,0.429,20.5
25,San Diego Padres,65,97,0.401,25.0
