,Tm,W,L,W-L%,GB
0,New York Yankees,103,59,0.636,--
1,Boston Red Sox,95,67,0.586,8.0
2,Tampa Bay Rays,84,78,0.519,19.0
3,Toronto Blue Jays,75,87,0.46299999999999997,28.0
4,Baltimore Orioles,64,98,0.395,39.0
5,Minnesota Twins,87,76,0.534,--
6,Detroit Tigers,86,77,0.528,1.0
7,Chicago White Sox,79,83,0.488,7.5
8,Cleveland Indians,65,97,0.401,21.5
9,Kansas City Royals,65,97,0.401,21.5
10,Los Angeles Angels of Anaheim,97,65,0.599,--
11,Texas Rangers,87,75,0.537,10.0
12,Seattle Mariners,85,77,0.525,12.0
13,Oakland Athletics,75,87,0.46299999999999997,22.0
14,Philadelphia Phillies,93,69,0.574,--
15,Florida Marlins,87,75,0.537,6.0
16,Atlanta Braves,86,76,0.531,7.0
17,New York Mets,70,92,0.43200000000000005,23.0
18,Washington Nationals,59,103,0.364,34.0
19,St. Louis Cardinals,91,71,0.562,--
20,Chicago Cubs,83,78,0.516,7.5
21,Milwaukee Brewers,80,82,0.494,11.0
22,Cincinnati Reds,78,84,0.48100000000000004,13.0
23,Houston Astros,74,88,0.457,17.0
24,Pittsburgh Pirates,62,99,0.385,28.5
25,Los Angeles Dodgers,95,67,0.586,--
26,Colorado Rockies,92,70,0.568,3.0
27,San Francisco Giants,88,74,0.5429999999999999,7.0
28,San Diego Padres,75,87,0.46299999999999997,20.0
29,Arizona Diamondbacks,70,92,0.43200000000000005,25.0
