,Tm,W,L,W-L%,GB
0,New York Yankees,97,65,0.599,--
1,Toronto Blue Jays,87,75,0.537,10.0
2,Boston Red Sox,86,76,0.531,11.0
3,Baltimore Orioles,70,92,0.43200000000000005,27.0
4,Tampa Bay Devil Rays,61,101,0.377,36.0
5,Minnesota Twins,96,66,0.593,--
6,Detroit Tigers,95,67,0.586,1.0
7,Chicago White Sox,90,72,0.556,6.0
8,Cleveland Indians,78,84,0.48100000000000004,18.0
9,Kansas City Royals,62,100,0.38299999999999995,34.0
10,Oakland Athletics,93,69,0.574,--
11,Los Angeles Angels of Anaheim,89,73,0.5489999999999999,4.0
12,Texas Rangers,80,82,0.494,13.0
13,Seattle Mariners,78,84,0.48100000000000004,15.0
14,New York Mets,97,65,0.599,--
15,Philadelphia Phillies,85,77,0.525,12.0
16,Atlanta Braves,79,83,0.488,18.0
17,Florida Marlins,78,84,0.48100000000000004,19.0
18,Washington Nationals,71,91,0.43799999999999994,26.0
19,St. Louis Cardinals,83,78,0.516,--
20,Houston Astros,82,80,0.506,1.5
21,Cincinnati Reds,80,82,0.494,3.5
22,Milwaukee Brewers,75,87,0.46299999999999997,8.5
23,Pittsburgh Pirates,67,95,0.414,16.5
24,Chicago Cubs,66,96,0.40700000000000003,17.5
25,San Diego Padres,88,74,0.5429999999999999,--
26,Los Angeles Dodgers,88,74,0.5429999999999999,--
27,San Francisco Giants,76,85,0.47200000000000003,11.5
28,Arizona Diamondbacks,76,86,0.469,12.0
29,Colorado Rockies,76,86,0.469,12.0
