,Tm,W,L,W-L%,GB
0,Baltimore Orioles,108,54,0.667,--
1,New York Yankees,93,69,0.574,15.0
2,Boston Red Sox,87,75,0.537,21.0
3,Detroit Tigers,79,83,0.488,29.0
4,Cleveland Indians,76,86,0.469,32.0
5,Washington Senators,70,92,0.43200000000000005,38.0
6,Minnesota Twins,98,64,0.605,--
7,Oakland Athletics,89,73,0.5489999999999999,9.0
8,California Angels,86,76,0.531,12.0
9,Kansas City Royals,65,97,0.401,33.0
10,Milwaukee Brewers,65,97,0.401,33.0
11,Chicago White Sox,56,106,0.34600000000000003,42.0
12,Pittsburgh Pirates,89,73,0.5489999999999999,--
13,Chicago Cubs,84,78,0.519,5.0
14,New York Mets,83,79,0.512,6.0
15,St. Louis Cardinals,76,86,0.469,13.0
16,Philadelphia Phillies,73,88,0.45299999999999996,15.5
17,Montreal Expos,73,89,0.451,16.0
18,Cincinnati Reds,102,60,0.63,--
19,Los Angeles Dodgers,87,74,0.54,14.5
20,San Francisco Giants,86,76,0.531,16.0
21,Houston Astros,79,83,0.488,23.0
22,Atlanta Braves,76,86,0.469,26.0
23,San Diego Padres,63,99,0.389,39.0
