,Tm,W,L,W-L%,GB
0,Milwaukee Brewers,95,67,0.586,--
1,Baltimore Orioles,94,68,0.58,1.0
2,Boston Red Sox,89,73,0.5489999999999999,6.0
3,Detroit Tigers,83,79,0.512,12.0
4,New York Yankees,79,83,0.488,16.0
5,Cleveland Indians,78,84,0.48100000000000004,17.0
6,Toronto Blue Jays,78,84,0.48100000000000004,17.0
7,California Angels,93,69,0.574,--
8,Kansas City Royals,90,72,0.556,3.0
9,Chicago White Sox,87,75,0.537,6.0
10,Seattle Mariners,76,86,0.469,17.0
11,Oakland Athletics,68,94,0.42,25.0
12,Texas Rangers,64,98,0.395,29.0
13,Minnesota Twins,60,102,0.37,33.0
14,St. Louis Cardinals,92,70,0.568,--
15,Philadelphia Phillies,89,73,0.5489999999999999,3.0
16,Montreal Expos,86,76,0.531,6.0
17,Pittsburgh Pirates,84,78,0.519,8.0
18,Chicago Cubs,73,89,0.451,19.0
19,New York Mets,65,97,0.401,27.0
20,Atlanta Braves,89,73,0.5489999999999999,--
21,Los Angeles Dodgers,88,74,0.5429999999999999,1.0
22,San Francisco Giants,87,75,0.537,2.0
23,San Diego Padres,81,81,0.5,8.0
24,Houston Astros,77,85,0.475,12.0
25,Cincinnati Reds,61,101,0.377,28.0
