,Tm,W,L,W-L%,GB
0,Baltimore Orioles,109,53,0.6729999999999999,--
1,Detroit Tigers,90,72,0.556,19.0
2,Boston Red Sox,87,75,0.537,22.0
3,Washington Senators,86,76,0.531,23.0
4,New York Yankees,80,81,0.49700000000000005,28.5
5,Cleveland Indians,62,99,0.385,46.5
6,Minnesota Twins,97,65,0.599,--
7,Oakland Athletics,88,74,0.5429999999999999,9.0
8,California Angels,71,91,0.43799999999999994,26.0
9,Kansas City Royals,69,93,0.426,28.0
10,Chicago White Sox,68,94,0.42,29.0
11,Seattle Pilots,64,98,0.395,33.0
12,New York Mets,100,62,0.617,--
13,Chicago Cubs,92,70,0.568,8.0
14,Pittsburgh Pirates,88,74,0.5429999999999999,12.0
15,St. Louis Cardinals,87,75,0.537,13.0
16,Philadelphia Phillies,63,99,0.389,37.0
17,Montreal Expos,52,110,0.321,48.0
18,Atlanta Braves,93,69,0.574,--
19,San Francisco Giants,90,72,0.556,3.0
20,Cincinnati Reds,89,73,0.5489999999999999,4.0
21,Los Angeles Dodgers,85,77,0.525,8.0
22,Houston Astros,81,81,0.5,12.0
23,San Diego Padres,52,110,0.321,41.0
