,Tm,W,L,W-L%,GB
0,Baltimore Orioles,98,64,0.605,--
1,Detroit Tigers,92,70,0.568,6.0
2,New York Yankees,91,71,0.562,7.0
3,Toronto Blue Jays,89,73,0.5489999999999999,9.0
4,Milwaukee Brewers,87,75,0.537,11.0
5,Boston Red Sox,78,84,0.48100000000000004,20.0
6,Cleveland Indians,70,92,0.43200000000000005,28.0
7,Chicago White Sox,99,63,0.611,--
8,Kansas City Royals,79,83,0.488,20.0
9,Texas Rangers,77,85,0.475,22.0
10,Oakland Athletics,74,88,0.457,25.0
11,California Angels,70,92,0.43200000000000005,29.0
12,Minnesota Twins,70,92,0.43200000000000005,29.0
13,Seattle Mariners,60,102,0.37,39.0
14,Philadelphia Phillies,90,72,0.556,--
15,Pittsburgh Pirates,84,78,0.519,6.0
16,Montreal Expos,82,80,0.506,8.0
17,St. Louis Cardinals,79,83,0.488,11.0
18,Chicago Cubs,71,91,0.43799999999999994,19.0
19,New York Mets,68,94,0.42,22.0
20,Los Angeles Dodgers,91,71,0.562,--
21,Atlanta Braves,88,74,0.5429999999999999,3.0
22,Houston Astros,85,77,0.525,6.0
23,San Diego Padres,81,81,0.5,10.0
24,San Francisco Giants,79,83,0.488,12.0
25,Cincinnati Reds,74,88,0.457,17.0
