,Tm,W,L,W-L%,GB
0,New York Yankees,114,48,0.7040000000000001,--
1,Boston Red Sox,92,70,0.568,22.0
2,Toronto Blue Jays,88,74,0.5429999999999999,26.0
3,Baltimore Orioles,79,83,0.488,35.0
4,Tampa Bay Devil Rays,63,99,0.389,51.0
5,Cleveland Indians,89,73,0.5489999999999999,--
6,Chicago White Sox,80,82,0.494,9.0
7,Kansas City Royals,72,89,0.447,16.5
8,Minnesota Twins,70,92,0.43200000000000005,19.0
9,Detroit Tigers,65,97,0.401,24.0
10,Texas Rangers,88,74,0.5429999999999999,--
11,Anaheim Angels,85,77,0.525,3.0
12,Seattle Mariners,76,85,0.47200000000000003,11.5
13,Oakland Athletics,74,88,0.457,14.0
14,Atlanta Braves,106,56,0.654,--
15,New York Mets,88,74,0.5429999999999999,18.0
16,Philadelphia Phillies,75,87,0.46299999999999997,31.0
17,Montreal Expos,65,97,0.401,41.0
18,Florida Marlins,54,108,0.33299999999999996,52.0
19,Houston Astros,102,60,0.63,--
20,Chicago Cubs,90,73,0.552,12.5
21,St. Louis Cardinals,83,79,0.512,19.0
22,Cincinnati Reds,77,85,0.475,25.0
23,Milwaukee Brewers,74,88,0.457,28.0
24,Pittsburgh Pirates,69,93,0.426,33.0
25,San Diego Padres,98,64,0.605,--
26,San Francisco Giants,89,74,0.546,9.5
27,Los Angeles Dodgers,83,79,0.512,15.0
28,Colorado Rockies,77,85,0.475,21.0
29,Arizona Diamondbacks,65,97,0.401,33.0
