,Tm,W,L,W-L%,GB
0,Toronto Blue Jays,91,71,0.562,--
1,Boston Red Sox,84,78,0.519,7.0
2,Detroit Tigers,84,78,0.519,7.0
3,Milwaukee Brewers,83,79,0.512,8.0
4,New York Yankees,71,91,0.43799999999999994,20.0
5,Baltimore Orioles,67,95,0.414,24.0
6,Cleveland Indians,57,105,0.35200000000000004,34.0
7,Minnesota Twins,95,67,0.586,--
8,Chicago White Sox,87,75,0.537,8.0
9,Texas Rangers,85,77,0.525,10.0
10,Oakland Athletics,84,78,0.519,11.0
11,Seattle Mariners,83,79,0.512,12.0
12,Kansas City Royals,82,80,0.506,13.0
13,California Angels,81,81,0.5,14.0
14,Pittsburgh Pirates,98,64,0.605,--
15,St. Louis Cardinals,84,78,0.519,14.0
16,Philadelphia Phillies,78,84,0.48100000000000004,20.0
17,Chicago Cubs,77,83,0.48100000000000004,20.0
18,New York Mets,77,84,0.478,20.5
19,Montreal Expos,71,90,0.441,26.5
20,Atlanta Braves,94,68,0.58,--
21,Los Angeles Dodgers,93,69,0.574,1.0
22,San Diego Padres,84,78,0.519,10.0
23,San Francisco Giants,75,87,0.46299999999999997,19.0
24,Cincinnati Reds,74,88,0.457,20.0
25,Houston Astros,65,97,0.401,29.0
