,Tm,W,L,W-L%,GB
0,Boston Red Sox,89,73,0.5489999999999999,--
1,Detroit Tigers,88,74,0.5429999999999999,1.0
2,Milwaukee Brewers,87,75,0.537,2.0
3,Toronto Blue Jays,87,75,0.537,2.0
4,New York Yankees,85,76,0.528,3.5
5,Cleveland Indians,78,84,0.48100000000000004,11.0
6,Baltimore Orioles,54,107,0.335,34.5
7,Oakland Athletics,104,58,0.642,--
8,Minnesota Twins,91,71,0.562,13.0
9,Kansas City Royals,84,77,0.522,19.5
10,California Angels,75,87,0.46299999999999997,29.0
11,Chicago White Sox,71,90,0.441,32.5
12,Texas Rangers,70,91,0.435,33.5
13,Seattle Mariners,68,93,0.42200000000000004,35.5
14,New York Mets,100,60,0.625,--
15,Pittsburgh Pirates,85,75,0.531,15.0
16,Montreal Expos,81,81,0.5,20.0
17,Chicago Cubs,77,85,0.475,24.0
18,St. Louis Cardinals,76,86,0.469,25.0
19,Philadelphia Phillies,65,96,0.40399999999999997,35.5
20,Los Angeles Dodgers,94,67,0.584,--
21,Cincinnati Reds,87,74,0.54,7.0
22,San Diego Padres,83,78,0.516,11.0
23,San Francisco Giants,83,79,0.512,11.5
24,Houston Astros,82,80,0.506,12.5
25,Atlanta Braves,54,106,0.33799999999999997,39.5
