,Tm,W,L,W-L%,GB
0,Baltimore Orioles,97,65,0.599,--
1,Boston Red Sox,89,73,0.5489999999999999,8.0
2,Detroit Tigers,85,77,0.525,12.0
3,New York Yankees,80,82,0.494,17.0
4,Milwaukee Brewers,74,88,0.457,23.0
5,Cleveland Indians,71,91,0.43799999999999994,26.0
6,Oakland Athletics,94,68,0.58,--
7,Kansas City Royals,88,74,0.5429999999999999,6.0
8,Minnesota Twins,81,81,0.5,13.0
9,California Angels,79,83,0.488,15.0
10,Chicago White Sox,77,85,0.475,17.0
11,Texas Rangers,57,105,0.35200000000000004,37.0
12,New York Mets,82,79,0.509,--
13,St. Louis Cardinals,81,81,0.5,1.5
14,Pittsburgh Pirates,80,82,0.494,2.5
15,Montreal Expos,79,83,0.488,3.5
16,Chicago Cubs,77,84,0.478,5.0
17,Philadelphia Phillies,71,91,0.43799999999999994,11.5
18,Cincinnati Reds,99,63,0.611,--
19,Los Angeles Dodgers,95,66,0.59,3.5
20,San Francisco Giants,88,74,0.5429999999999999,11.0
21,Houston Astros,82,80,0.506,17.0
22,Atlanta Braves,76,85,0.47200000000000003,22.5
23,San Diego Padres,60,102,0.37,39.0
