,Tm,W,L,W-L%,GB
0,Tampa Bay Rays,97,65,0.599,--
1,Boston Red Sox,95,67,0.586,2.0
2,New York Yankees,89,73,0.5489999999999999,8.0
3,Toronto Blue Jays,86,76,0.531,11.0
4,Baltimore Orioles,68,93,0.42200000000000004,28.5
5,Chicago White Sox,89,74,0.546,--
6,Minnesota Twins,88,75,0.54,1.0
7,Cleveland Indians,81,81,0.5,7.5
8,Kansas City Royals,75,87,0.46299999999999997,13.5
9,Detroit Tigers,74,88,0.457,14.5
10,Los Angeles Angels of Anaheim,100,62,0.617,--
11,Texas Rangers,79,83,0.488,21.0
12,Oakland Athletics,75,86,0.466,24.5
13,Seattle Mariners,61,101,0.377,39.0
14,Philadelphia Phillies,92,70,0.568,--
15,New York Mets,89,73,0.5489999999999999,3.0
16,Florida Marlins,84,77,0.522,7.5
17,Atlanta Braves,72,90,0.444,20.0
18,Washington Nationals,59,102,0.366,32.5
19,Chicago Cubs,97,64,0.602,--
20,Milwaukee Brewers,90,72,0.556,7.5
21,Houston Astros,86,75,0.534,11.0
22,St. Louis Cardinals,86,76,0.531,11.5
23,Cincinnati Reds,74,88,0.457,23.5
24,Pittsburgh Pirates,67,95,0.414,30.5
25,Los Angeles Dodgers,84,78,0.519,--
26,Arizona Diamondbacks,82,80,0.506,2.0
27,Colorado Rockies,74,88,0.457,10.0
28,San Francisco Giants,72,90,0.444,12.0
29,San Diego Padres,63,99,0.389,21.0
