,Tm,W,L,W-L%,GB
0,New York Yankees,97,65,0.599,--
1,Tampa Bay Rays,91,71,0.562,6.0
2,Boston Red Sox,90,72,0.556,7.0
3,Toronto Blue Jays,81,81,0.5,16.0
4,Baltimore Orioles,69,93,0.426,28.0
5,Detroit Tigers,95,67,0.586,--
6,Cleveland Indians,80,82,0.494,15.0
7,Chicago White Sox,79,83,0.488,16.0
8,Kansas City Royals,71,91,0.43799999999999994,24.0
9,Minnesota Twins,63,99,0.389,32.0
10,Texas Rangers,96,66,0.593,--
11,Los Angeles Angels of Anaheim,86,76,0.531,10.0
12,Oakland Athletics,74,88,0.457,22.0
13,Seattle Mariners,67,95,0.414,29.0
14,Philadelphia Phillies,102,60,0.63,--
15,Atlanta Braves,89,73,0.5489999999999999,13.0
16,Washington Nationals,80,81,0.49700000000000005,21.5
17,New York Mets,77,85,0.475,25.0
18,Florida Marlins,72,90,0.444,30.0
19,Milwaukee Brewers,96,66,0.593,--
20,St. Louis Cardinals,90,72,0.556,6.0
21,Cincinnati Reds,79,83,0.488,17.0
22,Pittsburgh Pirates,72,90,0.444,24.0
23,Chicago Cubs,71,91,0.43799999999999994,25.0
24,Houston Astros,56,106,0.34600000000000003,40.0
25,Arizona Diamondbacks,94,68,0.58,--
26,San Francisco Giants,86,76,0.531,8.0
27,Los Angeles Dodgers,82,79,0.509,11.5
28,Colorado Rockies,73,89,0.451,21.0
29,San Diego Padres,71,91,0.43799999999999994,23.0
