,Tm,W,L,W-L%,GB
0,Toronto Blue Jays,99,62,0.615,--
1,New York Yankees,97,64,0.602,2.0
2,Detroit Tigers,84,77,0.522,15.0
3,Baltimore Orioles,83,78,0.516,16.0
4,Boston Red Sox,81,81,0.5,18.5
5,Milwaukee Brewers,71,90,0.441,28.0
6,Cleveland Indians,60,102,0.37,39.5
7,Kansas City Royals,91,71,0.562,--
8,California Angels,90,72,0.556,1.0
9,Chicago White Sox,85,77,0.525,6.0
10,Minnesota Twins,77,85,0.475,14.0
11,Oakland Athletics,77,85,0.475,14.0
12,Seattle Mariners,74,88,0.457,17.0
13,Texas Rangers,62,99,0.385,28.5
14,St. Louis Cardinals,101,61,0.623,--
15,New York Mets,98,64,0.605,3.0
16,Montreal Expos,84,77,0.522,16.5
17,Chicago Cubs,77,84,0.478,23.5
18,Philadelphia Phillies,75,87,0.46299999999999997,26.0
19,Pittsburgh Pirates,57,104,0.354,43.5
20,Los Angeles Dodgers,95,67,0.586,--
21,Cincinnati Reds,89,72,0.5529999999999999,5.5
22,Houston Astros,83,79,0.512,12.0
23,San Diego Padres,83,79,0.512,12.0
24,Atlanta Braves,66,96,0.40700000000000003,29.0
25,San Francisco Giants,62,100,0.38299999999999995,33.0
