,Tm,W,L,W-L%,GB
0,Boston Red Sox,97,65,0.599,--
1,Tampa Bay Rays,92,71,0.564,5.5
2,Baltimore Orioles,85,77,0.525,12.0
3,New York Yankees,85,77,0.525,12.0
4,Toronto Blue Jays,74,88,0.457,23.0
5,Detroit Tigers,93,69,0.574,--
6,Cleveland Indians,92,70,0.568,1.0
7,Kansas City Royals,86,76,0.531,7.0
8,Minnesota Twins,66,96,0.40700000000000003,27.0
9,Chicago White Sox,63,99,0.389,30.0
10,Oakland Athletics,96,66,0.593,--
11,Texas Rangers,91,72,0.5579999999999999,5.5
12,Los Angeles Angels of Anaheim,78,84,0.48100000000000004,18.0
13,Seattle Mariners,71,91,0.43799999999999994,25.0
14,Houston Astros,51,111,0.315,45.0
15,Atlanta Braves,96,66,0.593,--
16,Washington Nationals,86,76,0.531,10.0
17,New York Mets,74,88,0.457,22.0
18,Philadelphia Phillies,73,89,0.451,23.0
19,Miami Marlins,62,100,0.38299999999999995,34.0
20,St. Louis Cardinals,97,65,0.599,--
21,Pittsburgh Pirates,94,68,0.58,3.0
22,Cincinnati Reds,90,72,0.556,7.0
23,Milwaukee Brewers,74,88,0.457,23.0
24,Chicago Cubs,66,96,0.40700000000000003,31.0
25,Los Angeles Dodgers,92,70,0.568,--
26,Arizona Diamondbacks,81,81,0.5,11.0
27,San Diego Padres,76,86,0.469,16.0
28,San Francisco Giants,76,86,0.469,16.0
29,Colorado Rockies,74,88,0.457,18.0
