,Tm,W,L,W-L%,GB
0,New York Yankees,98,64,0.605,--
1,Boston Red Sox,94,68,0.58,4.0
2,Toronto Blue Jays,84,78,0.519,14.0
3,Baltimore Orioles,78,84,0.48100000000000004,20.0
4,Tampa Bay Devil Rays,69,93,0.426,29.0
5,Cleveland Indians,97,65,0.599,--
6,Chicago White Sox,75,86,0.466,21.5
7,Detroit Tigers,69,92,0.429,27.5
8,Kansas City Royals,64,97,0.39799999999999996,32.5
9,Minnesota Twins,63,97,0.39399999999999996,33.0
10,Texas Rangers,95,67,0.586,--
11,Oakland Athletics,87,75,0.537,8.0
12,Seattle Mariners,79,83,0.488,16.0
13,Anaheim Angels,70,92,0.43200000000000005,25.0
14,Atlanta Braves,103,59,0.636,--
15,New York Mets,97,66,0.595,6.5
16,Philadelphia Phillies,77,85,0.475,26.0
17,Montreal Expos,68,94,0.42,35.0
18,Florida Marlins,64,98,0.395,39.0
19,Houston Astros,97,65,0.599,--
20,Cincinnati Reds,96,67,0.589,1.5
21,Pittsburgh Pirates,78,83,0.484,18.5
22,St. Louis Cardinals,75,86,0.466,21.5
23,Milwaukee Brewers,74,87,0.46,22.5
24,Chicago Cubs,67,95,0.414,30.0
25,Arizona Diamondbacks,100,62,0.617,--
26,San Francisco Giants,86,76,0.531,14.0
27,Los Angeles Dodgers,77,85,0.475,23.0
28,San Diego Padres,74,88,0.457,26.0
29,Colorado Rockies,72,90,0.444,28.0
