,Tm,W,L,W-L%,GB
0,New York Yankees,100,62,0.617,--
1,Baltimore Orioles,97,64,0.602,2.5
2,Boston Red Sox,97,64,0.602,2.5
3,Detroit Tigers,74,88,0.457,26.0
4,Cleveland Indians,71,90,0.441,28.5
5,Milwaukee Brewers,67,95,0.414,33.0
6,Toronto Blue Jays,54,107,0.335,45.5
7,Kansas City Royals,102,60,0.63,--
8,Texas Rangers,94,68,0.58,8.0
9,Chicago White Sox,90,72,0.556,12.0
10,Minnesota Twins,84,77,0.522,17.5
11,California Angels,74,88,0.457,28.0
12,Seattle Mariners,64,98,0.395,38.0
13,Oakland Athletics,63,98,0.391,38.5
14,Philadelphia Phillies,101,61,0.623,--
15,Pittsburgh Pirates,96,66,0.593,5.0
16,St. Louis Cardinals,83,79,0.512,18.0
17,Chicago Cubs,81,81,0.5,20.0
18,Montreal Expos,75,87,0.46299999999999997,26.0
19,New York Mets,64,98,0.395,37.0
20,Los Angeles Dodgers,98,64,0.605,--
21,Cincinnati Reds,88,74,0.5429999999999999,10.0
22,Houston Astros,81,81,0.5,17.0
23,San Francisco Giants,75,87,0.46299999999999997,23.0
24,San Diego Padres,69,93,0.426,29.0
25,Atlanta Braves,61,101,0.377,37.0
