,Tm,W,L,W-L%,GB
0,New York Yankees,70,43,0.619,--
1,Baltimore Orioles,63,49,0.563,6.5
2,Toronto Blue Jays,55,60,0.478,16.0
3,Boston Red Sox,54,61,0.47,17.0
4,Detroit Tigers,53,62,0.461,18.0
5,Chicago White Sox,67,46,0.593,--
6,Cleveland Indians,66,47,0.584,1.0
7,Kansas City Royals,64,51,0.557,4.0
8,Minnesota Twins,53,60,0.469,14.0
9,Milwaukee Brewers,53,62,0.461,15.0
10,Texas Rangers,52,62,0.456,--
11,Oakland Athletics,51,63,0.447,1.0
12,Seattle Mariners,49,63,0.43799999999999994,2.0
13,California Angels,47,68,0.409,5.5
14,Montreal Expos,74,40,0.649,--
15,Atlanta Braves,68,46,0.596,6.0
16,New York Mets,55,58,0.48700000000000004,18.5
17,Philadelphia Phillies,54,61,0.47,20.5
18,Florida Marlins,51,64,0.44299999999999995,23.5
19,Cincinnati Reds,66,48,0.579,--
20,Houston Astros,66,49,0.574,0.5
21,Pittsburgh Pirates,53,61,0.465,13.0
22,St. Louis Cardinals,53,61,0.465,13.0
23,Chicago Cubs,49,64,0.434,16.5
24,Los Angeles Dodgers,58,56,0.509,--
25,San Francisco Giants,55,60,0.478,3.5
26,Colorado Rockies,53,64,0.45299999999999996,6.5
27,San Diego Padres,47,70,0.402,12.5
