,Tm,W,L,W-L%,GB
0,New York Yankees,95,67,0.586,--
1,Boston Red Sox,95,67,0.586,--
2,Toronto Blue Jays,80,82,0.494,15.0
3,Baltimore Orioles,74,88,0.457,21.0
4,Tampa Bay Devil Rays,67,95,0.414,28.0
5,Chicago White Sox,99,63,0.611,--
6,Cleveland Indians,93,69,0.574,6.0
7,Minnesota Twins,83,79,0.512,16.0
8,Detroit Tigers,71,91,0.43799999999999994,28.0
9,Kansas City Royals,56,106,0.34600000000000003,43.0
10,Los Angeles Angels of Anaheim,95,67,0.586,--
11,Oakland Athletics,88,74,0.5429999999999999,7.0
12,Texas Rangers,79,83,0.488,16.0
13,Seattle Mariners,69,93,0.426,26.0
14,Atlanta Braves,90,72,0.556,--
15,Philadelphia Phillies,88,74,0.5429999999999999,2.0
16,Florida Marlins,83,79,0.512,7.0
17,New York Mets,83,79,0.512,7.0
18,Washington Nationals,81,81,0.5,9.0
19,St. Louis Cardinals,100,62,0.617,--
20,Houston Astros,89,73,0.5489999999999999,11.0
21,Milwaukee Brewers,81,81,0.5,19.0
22,Chicago Cubs,79,83,0.488,21.0
23,Cincinnati Reds,73,89,0.451,27.0
24,Pittsburgh Pirates,67,95,0.414,33.0
25,San Diego Padres,82,80,0.506,--
26,Arizona Diamondbacks,77,85,0.475,5.0
27,San Francisco Giants,75,87,0.46299999999999997,7.0
28,Los Angeles Dodgers,71,91,0.43799999999999994,11.0
29,Colorado Rockies,67,95,0.414,15.0
