,Tm,W,L,W-L%,GB
0,New York Yankees,95,65,0.594,--
1,Boston Red Sox,82,79,0.509,13.5
2,Toronto Blue Jays,80,82,0.494,16.0
3,Baltimore Orioles,63,98,0.391,32.5
4,Tampa Bay Devil Rays,62,100,0.38299999999999995,34.0
5,Cleveland Indians,91,71,0.562,--
6,Minnesota Twins,85,77,0.525,6.0
7,Chicago White Sox,83,79,0.512,8.0
8,Detroit Tigers,66,96,0.40700000000000003,25.0
9,Kansas City Royals,65,97,0.401,26.0
10,Seattle Mariners,116,46,0.716,--
11,Oakland Athletics,102,60,0.63,14.0
12,Anaheim Angels,75,87,0.46299999999999997,41.0
13,Texas Rangers,73,89,0.451,43.0
14,Atlanta Braves,88,74,0.5429999999999999,--
15,Philadelphia Phillies,86,76,0.531,2.0
16,New York Mets,82,80,0.506,6.0
17,Florida Marlins,76,86,0.469,12.0
18,Montreal Expos,68,94,0.42,20.0
19,Houston Astros,93,69,0.574,--
20,St. Louis Cardinals,93,69,0.574,--
21,Chicago Cubs,88,74,0.5429999999999999,5.0
22,Milwaukee Brewers,68,94,0.42,25.0
23,Cincinnati Reds,66,96,0.40700000000000003,27.0
24,Pittsburgh Pirates,62,100,0.38299999999999995,31.0
25,Arizona Diamondbacks,92,70,0.568,--
26,San Francisco Giants,90,72,0.556,2.0
27,Los Angeles Dodgers,86,76,0.531,6.0
28,San Diego Padres,79,83,0.488,13.0
29,Colorado Rockies,73,89,0.451,19.0
