,Tm,W,L,W-L%,GB
0,Boston Red Sox,96,66,0.593,--
1,New York Yankees,94,68,0.58,2.0
2,Toronto Blue Jays,83,79,0.512,13.0
3,Baltimore Orioles,69,93,0.426,27.0
4,Tampa Bay Devil Rays,66,96,0.40700000000000003,30.0
5,Cleveland Indians,96,66,0.593,--
6,Detroit Tigers,88,74,0.5429999999999999,8.0
7,Minnesota Twins,79,83,0.488,17.0
8,Chicago White Sox,72,90,0.444,24.0
9,Kansas City Royals,69,93,0.426,27.0
10,Los Angeles Angels of Anaheim,94,68,0.58,--
11,Seattle Mariners,88,74,0.5429999999999999,6.0
12,Oakland Athletics,76,86,0.469,18.0
13,Texas Rangers,75,87,0.46299999999999997,19.0
14,Philadelphia Phillies,89,73,0.5489999999999999,--
15,New York Mets,88,74,0.5429999999999999,1.0
16,Atlanta Braves,84,78,0.519,5.0
17,Washington Nationals,73,89,0.451,16.0
18,Florida Marlins,71,91,0.43799999999999994,18.0
19,Chicago Cubs,85,77,0.525,--
20,Milwaukee Brewers,83,79,0.512,2.0
21,St. Louis Cardinals,78,84,0.48100000000000004,7.0
22,Houston Astros,73,89,0.451,12.0
23,Cincinnati Reds,72,90,0.444,13.0
24,Pittsburgh Pirates,68,94,0.42,17.0
25,Arizona Diamondbacks,90,72,0.556,--
26,Colorado Rockies,90,73,0.552,0.5
27,San Diego Padres,89,74,0.546,1.5
28,Los Angeles Dodgers,82,80,0.506,8.0
29,San Francisco Giants,71,91,0.43799999999999994,19.0
