,Tm,W,L,W-L%,GB
0,Baltimore Orioles,98,64,0.605,--
1,New York Yankees,96,66,0.593,2.0
2,Detroit Tigers,79,83,0.488,19.0
3,Boston Red Sox,78,84,0.48100000000000004,20.0
4,Toronto Blue Jays,76,86,0.469,22.0
5,Cleveland Indians,86,75,0.534,--
6,Chicago White Sox,80,81,0.49700000000000005,6.0
7,Milwaukee Brewers,78,83,0.484,8.0
8,Minnesota Twins,68,94,0.42,18.5
9,Kansas City Royals,67,94,0.41600000000000004,19.0
10,Seattle Mariners,90,72,0.556,--
11,Anaheim Angels,84,78,0.519,6.0
12,Texas Rangers,77,85,0.475,13.0
13,Oakland Athletics,65,97,0.401,25.0
14,Atlanta Braves,101,61,0.623,--
15,Florida Marlins,92,70,0.568,9.0
16,New York Mets,88,74,0.5429999999999999,13.0
17,Montreal Expos,78,84,0.48100000000000004,23.0
18,Philadelphia Phillies,68,94,0.42,33.0
19,Houston Astros,84,78,0.519,--
20,Pittsburgh Pirates,79,83,0.488,5.0
21,Cincinnati Reds,76,86,0.469,8.0
22,St. Louis Cardinals,73,89,0.451,11.0
23,Chicago Cubs,68,94,0.42,16.0
24,San Francisco Giants,90,72,0.556,--
25,Los Angeles Dodgers,88,74,0.5429999999999999,2.0
26,Colorado Rockies,83,79,0.512,7.0
27,San Diego Padres,76,86,0.469,14.0
