,Tm,W,L,W-L%,GB
0,Toronto Blue Jays,89,73,0.5489999999999999,--
1,Baltimore Orioles,87,75,0.537,2.0
2,Boston Red Sox,83,79,0.512,6.0
3,Milwaukee Brewers,81,81,0.5,8.0
4,New York Yankees,74,87,0.46,14.5
5,Cleveland Indians,73,89,0.451,16.0
6,Detroit Tigers,59,103,0.364,30.0
7,Oakland Athletics,99,63,0.611,--
8,Kansas City Royals,92,70,0.568,7.0
9,California Angels,91,71,0.562,8.0
10,Texas Rangers,83,79,0.512,16.0
11,Minnesota Twins,80,82,0.494,19.0
12,Seattle Mariners,73,89,0.451,26.0
13,Chicago White Sox,69,92,0.429,29.5
14,Chicago Cubs,93,69,0.574,--
15,New York Mets,87,75,0.537,6.0
16,St. Louis Cardinals,86,76,0.531,7.0
17,Montreal Expos,81,81,0.5,12.0
18,Pittsburgh Pirates,74,88,0.457,19.0
19,Philadelphia Phillies,67,95,0.414,26.0
20,San Francisco Giants,92,70,0.568,--
21,San Diego Padres,89,73,0.5489999999999999,3.0
22,Houston Astros,86,76,0.531,6.0
23,Los Angeles Dodgers,77,83,0.48100000000000004,14.0
24,Cincinnati Reds,75,87,0.46299999999999997,17.0
25,Atlanta Braves,63,97,0.39399999999999996,28.0
