,Tm,W,L,W-L%,GB
0,Toronto Blue Jays,96,66,0.593,--
1,Milwaukee Brewers,92,70,0.568,4.0
2,Baltimore Orioles,89,73,0.5489999999999999,7.0
3,Cleveland Indians,76,86,0.469,20.0
4,New York Yankees,76,86,0.469,20.0
5,Detroit Tigers,75,87,0.46299999999999997,21.0
6,Boston Red Sox,73,89,0.451,23.0
7,Oakland Athletics,96,66,0.593,--
8,Minnesota Twins,90,72,0.556,6.0
9,Chicago White Sox,86,76,0.531,10.0
10,Texas Rangers,77,85,0.475,19.0
11,California Angels,72,90,0.444,24.0
12,Kansas City Royals,72,90,0.444,24.0
13,Seattle Mariners,64,98,0.395,32.0
14,Pittsburgh Pirates,96,66,0.593,--
15,Montreal Expos,87,75,0.537,9.0
16,St. Louis Cardinals,83,79,0.512,13.0
17,Chicago Cubs,78,84,0.48100000000000004,18.0
18,New York Mets,72,90,0.444,24.0
19,Philadelphia Phillies,70,92,0.43200000000000005,26.0
20,Atlanta Braves,98,64,0.605,--
21,Cincinnati Reds,90,72,0.556,8.0
22,San Diego Padres,82,80,0.506,16.0
23,Houston Astros,81,81,0.5,17.0
24,San Francisco Giants,72,90,0.444,26.0
25,Los Angeles Dodgers,63,99,0.389,35.0
