,Tm,W,L,W-L%,GB
0,Boston Red Sox,93,69,0.574,--
1,Baltimore Orioles,89,73,0.5489999999999999,4.0
2,Toronto Blue Jays,89,73,0.5489999999999999,4.0
3,New York Yankees,84,78,0.519,9.0
4,Tampa Bay Rays,68,94,0.42,25.0
5,Cleveland Indians,94,67,0.584,--
6,Detroit Tigers,86,75,0.534,8.0
7,Kansas City Royals,81,81,0.5,13.5
8,Chicago White Sox,78,84,0.48100000000000004,16.5
9,Minnesota Twins,59,103,0.364,35.5
10,Texas Rangers,95,67,0.586,--
11,Seattle Mariners,86,76,0.531,9.0
12,Houston Astros,84,78,0.519,11.0
13,Los Angeles Angels,74,88,0.457,21.0
14,Oakland Athletics,69,93,0.426,26.0
15,Washington Nationals,95,67,0.586,--
16,New York Mets,87,75,0.537,8.0
17,Miami Marlins,79,82,0.491,15.5
18,Philadelphia Phillies,71,91,0.43799999999999994,24.0
19,Atlanta Braves,68,93,0.42200000000000004,26.5
20,Chicago Cubs,103,58,0.64,--
21,St. Louis Cardinals,86,76,0.531,17.5
22,Pittsburgh Pirates,78,83,0.484,25.0
23,Milwaukee Brewers,73,89,0.451,30.5
24,Cincinnati Reds,68,94,0.42,35.5
25,Los Angeles Dodgers,91,71,0.562,--
26,San Francisco Giants,87,75,0.537,4.0
27,Colorado Rockies,75,87,0.46299999999999997,16.0
28,Arizona Diamondbacks,69,93,0.426,22.0
29,San Diego Padres,68,94,0.42,23.0
