,Tm,W,L,W-L%,GB
0,Tampa Bay Rays,96,66,0.593,--
1,New York Yankees,95,67,0.586,1.0
2,Boston Red Sox,89,73,0.5489999999999999,7.0
3,Toronto Blue Jays,85,77,0.525,11.0
4,Baltimore Orioles,66,96,0.40700000000000003,30.0
5,Minnesota Twins,94,68,0.58,--
6,Chicago White Sox,88,74,0.5429999999999999,6.0
7,Detroit Tigers,81,81,0.5,13.0
8,Cleveland Indians,69,93,0.426,25.0
9,Kansas City Royals,67,95,0.414,27.0
10,Texas Rangers,90,72,0.556,--
11,Oakland Athletics,81,81,0.5,9.0
12,Los Angeles Angels of Anaheim,80,82,0.494,10.0
13,Seattle Mariners,61,101,0.377,29.0
14,Philadelphia Phillies,97,65,0.599,--
15,Atlanta Braves,91,71,0.562,6.0
16,Florida Marlins,80,82,0.494,17.0
17,New York Mets,79,83,0.488,18.0
18,Washington Nationals,69,93,0.426,28.0
19,Cincinnati Reds,91,71,0.562,--
20,St. Louis Cardinals,86,76,0.531,5.0
21,Milwaukee Brewers,77,85,0.475,14.0
22,Houston Astros,76,86,0.469,15.0
23,Chicago Cubs,75,87,0.46299999999999997,16.0
24,Pittsburgh Pirates,57,105,0.35200000000000004,34.0
25,San Francisco Giants,92,70,0.568,--
26,San Diego Padres,90,72,0.556,2.0
27,Colorado Rockies,83,79,0.512,9.0
28,Los Angeles Dodgers,80,82,0.494,12.0
29,Arizona Diamondbacks,65,97,0.401,27.0
