,Tm,W,L,W-L%,GB
0,New York Yankees,103,59,0.636,--
1,Baltimore Orioles,100,62,0.617,3.0
2,Milwaukee Brewers,86,76,0.531,17.0
3,Detroit Tigers,84,78,0.519,19.0
4,Boston Red Sox,83,77,0.519,19.0
5,Cleveland Indians,79,81,0.494,23.0
6,Toronto Blue Jays,67,95,0.414,36.0
7,Kansas City Royals,97,65,0.599,--
8,Oakland Athletics,83,79,0.512,14.0
9,Minnesota Twins,77,84,0.478,19.5
10,Texas Rangers,76,85,0.47200000000000003,20.5
11,Chicago White Sox,70,90,0.43799999999999994,26.0
12,California Angels,65,95,0.406,31.0
13,Seattle Mariners,59,103,0.364,38.0
14,Philadelphia Phillies,91,71,0.562,--
15,Montreal Expos,90,72,0.556,1.0
16,Pittsburgh Pirates,83,79,0.512,8.0
17,St. Louis Cardinals,74,88,0.457,17.0
18,New York Mets,67,95,0.414,24.0
19,Chicago Cubs,64,98,0.395,27.0
20,Houston Astros,93,70,0.5710000000000001,--
21,Los Angeles Dodgers,92,71,0.564,1.0
22,Cincinnati Reds,89,73,0.5489999999999999,3.5
23,Atlanta Braves,81,80,0.503,11.0
24,San Francisco Giants,75,86,0.466,17.0
25,San Diego Padres,73,89,0.451,19.5
