,Tm,W,L,W-L%,GB
0,Baltimore Orioles,102,57,0.642,--
1,Milwaukee Brewers,95,66,0.59,8.0
2,Boston Red Sox,91,69,0.569,11.5
3,New York Yankees,89,71,0.556,13.5
4,Detroit Tigers,85,76,0.528,18.0
5,Cleveland Indians,81,80,0.503,22.0
6,Toronto Blue Jays,53,109,0.327,50.5
7,California Angels,88,74,0.5429999999999999,--
8,Kansas City Royals,85,77,0.525,3.0
9,Texas Rangers,83,79,0.512,5.0
10,Minnesota Twins,82,80,0.506,6.0
11,Chicago White Sox,73,87,0.456,14.0
12,Seattle Mariners,67,95,0.414,21.0
13,Oakland Athletics,54,108,0.33299999999999996,34.0
14,Pittsburgh Pirates,98,64,0.605,--
15,Montreal Expos,95,65,0.594,2.0
16,St. Louis Cardinals,86,76,0.531,12.0
17,Philadelphia Phillies,84,78,0.519,14.0
18,Chicago Cubs,80,82,0.494,18.0
19,New York Mets,63,99,0.389,35.0
20,Cincinnati Reds,90,71,0.5589999999999999,--
21,Houston Astros,89,73,0.5489999999999999,1.5
22,Los Angeles Dodgers,79,83,0.488,11.5
23,San Francisco Giants,71,91,0.43799999999999994,19.5
24,San Diego Padres,68,93,0.42200000000000004,22.0
25,Atlanta Braves,66,94,0.413,23.5
