,Tm,W,L,W-L%,GB
0,Baltimore Orioles,96,66,0.593,--
1,New York Yankees,84,78,0.519,12.0
2,Toronto Blue Jays,83,79,0.512,13.0
3,Tampa Bay Rays,77,85,0.475,19.0
4,Boston Red Sox,71,91,0.43799999999999994,25.0
5,Detroit Tigers,90,72,0.556,--
6,Kansas City Royals,89,73,0.5489999999999999,1.0
7,Cleveland Indians,85,77,0.525,5.0
8,Chicago White Sox,73,89,0.451,17.0
9,Minnesota Twins,70,92,0.43200000000000005,20.0
10,Los Angeles Angels of Anaheim,98,64,0.605,--
11,Oakland Athletics,88,74,0.5429999999999999,10.0
12,Seattle Mariners,87,75,0.537,11.0
13,Houston Astros,70,92,0.43200000000000005,28.0
14,Texas Rangers,67,95,0.414,31.0
15,Washington Nationals,96,66,0.593,--
16,Atlanta Braves,79,83,0.488,17.0
17,New York Mets,79,83,0.488,17.0
18,Miami Marlins,77,85,0.475,19.0
19,Philadelphia Phillies,73,89,0.451,23.0
20,St. Louis Cardinals,90,72,0.556,--
21,Pittsburgh Pirates,88,74,0.5429999999999999,2.0
22,Milwaukee Brewers,82,80,0.506,8.0
23,Cincinnati Reds,76,86,0.469,14.0
24,Chicago Cubs,73,89,0.451,17.0
25,Los Angeles Dodgers,94,68,0.58,--
26,San Francisco Giants,88,74,0.5429999999999999,6.0
27,San Diego Padres,77,85,0.475,17.0
28,Colorado Rockies,66,96,0.40700000000000003,28.0
29,Arizona Diamondbacks,64,98,0.395,30.0
