,Tm,W,L,W-L%,GB
0,New York Yankees,101,61,0.623,--
1,Boston Red Sox,95,67,0.586,6.0
2,Toronto Blue Jays,86,76,0.531,15.0
3,Baltimore Orioles,71,91,0.43799999999999994,30.0
4,Tampa Bay Devil Rays,63,99,0.389,38.0
5,Minnesota Twins,90,72,0.556,--
6,Chicago White Sox,86,76,0.531,4.0
7,Kansas City Royals,83,79,0.512,7.0
8,Cleveland Indians,68,94,0.42,22.0
9,Detroit Tigers,43,119,0.265,47.0
10,Oakland Athletics,96,66,0.593,--
11,Seattle Mariners,93,69,0.574,3.0
12,Anaheim Angels,77,85,0.475,19.0
13,Texas Rangers,71,91,0.43799999999999994,25.0
14,Atlanta Braves,101,61,0.623,--
15,Florida Marlins,91,71,0.562,10.0
16,Philadelphia Phillies,86,76,0.531,15.0
17,Montreal Expos,83,79,0.512,18.0
18,New York Mets,66,95,0.41,34.5
19,Chicago Cubs,88,74,0.5429999999999999,--
20,Houston Astros,87,75,0.537,1.0
21,St. Louis Cardinals,85,77,0.525,3.0
22,Pittsburgh Pirates,75,87,0.46299999999999997,13.0
23,Cincinnati Reds,69,93,0.426,19.0
24,Milwaukee Brewers,68,94,0.42,20.0
25,San Francisco Giants,100,61,0.621,--
26,Los Angeles Dodgers,85,77,0.525,15.5
27,Arizona Diamondbacks,84,78,0.519,16.5
28,Colorado Rockies,74,88,0.457,26.5
29,San Diego Padres,64,98,0.395,36.5
