,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,Gpi,W,L,ERA,WHIP,SV,Type,school,town,ST
603,1988,17,433,12,Red Sox,N,Eric Slinkard (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Chula Vista HS ,Chula Vista,CA
604,1988,18,459,12,Red Sox,Y,Hilly Hathaway (minors),LHP,0.4,0,0,0,0,0,13,4,3,5.29,1.71,0,HS,Sandalwood HS ,Jacksonville,FL
605,1988,19,485,12,Red Sox,Y,Kevin Crowder (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Keene HS ,Keene,NH
606,1988,20,511,12,Red Sox,N,Corey Powell (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Patrick Henry HS ,San Diego,CA
607,1988,21,537,12,Red Sox,N,Gary Kinser (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Columbia State Community College ,Columbia,TN
608,1988,22,563,12,Red Sox,Y,Chris Whitehead (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Middle Tennessee State University ,Murfreesboro,TN
609,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Aquinas HS ,La Crosse,WI
610,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Aquinas HS ,La Crosse,WI
611,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,University of Minnesota ,Minneapolis,MN
612,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,University of Minnesota ,Minneapolis,MN
613,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Aquinas HS ,La Crosse,WI
614,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Aquinas HS ,La Crosse,WI
615,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,University of Minnesota ,Minneapolis,MN
616,1988,23,589,12,Red Sox,N,Scott Bakkum (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,University of Minnesota ,Minneapolis,MN
617,1988,24,615,12,Red Sox,Y,Bernie Doyle (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,North Newton HS ,Morocco,IL
618,1988,25,641,12,Red Sox,Y,John Flaherty (minors),C,1.6,1047,3372,80,0.252,0.667,0,0,0,0,0,0,4Yr,George Washington University ,Washington,DC
619,1988,26,667,12,Red Sox,N,Joe Biasucci (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,South Broward HS ,Hollywood,FL
620,1988,27,693,12,Red Sox,N,Mark Mitchelson (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Hillsborough Community College ,Tampa,FL
621,1988,28,719,12,Red Sox,Y,Scott Taylor (minors),LHP,-0.2,0,0,0,0,0,20,1,2,6.31,1.68,0,4Yr,Bowling Green State University ,Bowling Green,OH
622,1988,29,745,12,Red Sox,Y,John Spencer (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Massachusetts Lowell ,Lowell,MA
623,1988,30,771,12,Red Sox,N,Andrew Flagler (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Valencia Community College ,Orlando,FL
624,1988,31,797,12,Red Sox,N,Dan Robinson (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,JC,San Jacinto College ,Pasadena,TX
625,1988,32,823,12,Red Sox,N,Michael Rebhan (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Florida Gateway College ,Lake City,FL
626,1988,33,849,12,Red Sox,Y,Peter Hoy (minors),RHP,-0.1,0,0,0,0,0,5,0,0,7.36,2.73,0,4Yr,LeMoyne College ,Syracuse,NY
627,1988,34,875,12,Red Sox,Y,Bart Moore (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Jefferson State Community College ,Birmingham,AL
628,1988,35,901,12,Red Sox,N,Marty Posey (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Gulf Coast Community College ,Panama City,FL
629,1988,36,927,12,Red Sox,N,Jim Wiley (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Arkansas-Fort Smith ,Fort Smith,AR
630,1988,37,953,12,Red Sox,N,Steve Worrell (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lower Cape May Regional HS ,Cape May,NJ
631,1988,38,979,12,Red Sox,N,Roger Luce (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,San Jacinto College ,Pasadena,TX
632,1989,1,16,16,Red Sox via Padres,Y,*Greg Blosser (minors),OF,-0.4,22,39,0,0.077,0.303,0,0,0,0,0,0,HS,Sarasota HS ,Sarasota,FL
633,1989,1,23,23,Red Sox,Y,Mo Vaughn (minors),1B,27.2,1512,5532,328,0.293,0.906,0,0,0,0,0,0,4Yr,Seton Hall University ,South Orange,NJ
634,1989,1s,29,29,Red Sox,Y,*Kevin Morton (minors),LHP,0.4,0,0,0,0,0,16,6,5,4.59,1.54,0,4Yr,Seton Hall University ,South Orange,NJ
635,1989,2,53,23,Red Sox,Y,Jeff McNeely (minors),OF,0.2,21,37,0,0.297,0.787,0,0,0,0,0,0,JC,Spartanburg Methodist College ,Spartanburg,SC
636,1989,3,83,23,Red Sox,Y,Eric Wedge (minors),C,0.2,39,86,5,0.233,0.77,0,0,0,0,0,0,4Yr,Wichita State University ,Wichita,KS
637,1989,4,110,24,Red Sox,Y,Jeff Bagwell (minors),3B,79.9,2150,7797,449,0.297,0.948,0,0,0,0,0,0,4Yr,University of Hartford ,West Hartford,CT
638,1989,5,137,24,Red Sox,Y,Tim Mitchell (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Culver City HS ,Culver City,CA
639,1989,6,163,23,Red Sox,N,Paul Quantrill (minors),RHP,17.7,274,67,0,0.104,0.259,841,68,78,3.83,1.42,21,4Yr,University of Wisconsin at Madison ,Madison,WI
640,1989,7,189,23,Red Sox,N,Paul Anacki (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Sandwich HS ,Sandwich,MA
641,1989,8,215,23,Red Sox,N,Stoney Burke (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Avon HS ,Avon,IN
642,1989,9,241,23,Red Sox,Y,Cedric Santiago (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Central Juvenil HS ,Yauco,Puerto
643,1989,10,267,23,Red Sox,Y,Greg Hansell (minors),RHP,-0.4,52,2,0,0,0,106,4,4,5.56,1.51,3,HS,John F. Kennedy HS ,La Palma,CA
644,1989,11,293,23,Red Sox,Y,Jason Freidman (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Cypress College ,Cypress,CA
645,1989,12,319,23,Red Sox,N,Pete Janicki (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,El Dorado HS ,Placentia,CA
646,1989,13,345,23,Red Sox,N,Chris Wimmer (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,HS,East HS ,Wichita,KS
647,1989,14,371,23,Red Sox,N,Fred Starks (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Rockledge HS ,Rockledge,FL
648,1989,15,397,23,Red Sox,Y,Jim Dennison (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Jacksonville State University ,Jacksonville,AL
649,1989,16,423,23,Red Sox,Y,Tim Graham (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lancaster HS ,Lancaster,OH
650,1989,17,449,23,Red Sox,Y,Colin Dixon (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Southeastern Louisiana University ,Hammond,LA
651,1989,18,475,23,Red Sox,Y,Lou Grant (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Ballard HS ,Seattle,WA
652,1989,19,501,23,Red Sox,Y,H.B. Awkard (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Nelson County HS ,Lovingston,VA
653,1989,20,527,23,Red Sox,N,B.J. Wallace (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Monroe Academy HS ,Monroeville,AL
654,1989,21,553,23,Red Sox,Y,Ernest Brown (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,"Community College of Baltimore County, Catonsville Campus ",Catonsville,MD
655,1989,22,579,23,Red Sox,Y,Brian Conroy (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Massachusetts Amherst ,Amherst,MA
656,1989,23,604,22,Red Sox,N,Dom DeSantis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Miami-Dade College ,Miami,FL
657,1989,24,631,23,Red Sox,Y,Troy Vann (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,City College of San Francisco ,San Francisco,CA
