,Tm,W,L,W-L%,GB
0,Boston Red Sox,86,58,0.597,--
1,New York Yankees,79,65,0.5489999999999999,7.0
2,Baltimore Orioles,71,73,0.493,15.0
3,Detroit Tigers,60,84,0.41700000000000004,26.0
4,Toronto Blue Jays,56,88,0.389,30.0
5,Cleveland Indians,100,44,0.6940000000000001,--
6,Kansas City Royals,70,74,0.486,30.0
7,Chicago White Sox,68,76,0.47200000000000003,32.0
8,Milwaukee Brewers,65,79,0.451,35.0
9,Minnesota Twins,56,88,0.389,44.0
10,Seattle Mariners,79,66,0.545,--
11,California Angels,78,67,0.5379999999999999,1.0
12,Texas Rangers,74,70,0.514,4.5
13,Oakland Athletics,67,77,0.465,11.5
14,Atlanta Braves,90,54,0.625,--
15,New York Mets,69,75,0.479,21.0
16,Philadelphia Phillies,69,75,0.479,21.0
17,Florida Marlins,67,76,0.469,22.5
18,Montreal Expos,66,78,0.45799999999999996,24.0
19,Cincinnati Reds,85,59,0.59,--
20,Houston Astros,76,68,0.528,9.0
21,Chicago Cubs,73,71,0.507,12.0
22,St. Louis Cardinals,62,81,0.434,22.5
23,Pittsburgh Pirates,58,86,0.40299999999999997,27.0
24,Los Angeles Dodgers,78,66,0.542,--
25,Colorado Rockies,77,67,0.535,1.0
26,San Diego Padres,70,74,0.486,8.0
27,San Francisco Giants,67,77,0.465,11.0
