,Tm,W,L,W-L%,GB
0,Boston Red Sox,95,66,0.59,--
1,New York Yankees,90,72,0.556,5.5
2,Detroit Tigers,87,75,0.537,8.5
3,Toronto Blue Jays,86,76,0.531,9.5
4,Cleveland Indians,84,78,0.519,11.5
5,Milwaukee Brewers,77,84,0.478,18.0
6,Baltimore Orioles,73,89,0.451,22.5
7,California Angels,92,70,0.568,--
8,Texas Rangers,87,75,0.537,5.0
9,Kansas City Royals,76,86,0.469,16.0
10,Oakland Athletics,76,86,0.469,16.0
11,Chicago White Sox,72,90,0.444,20.0
12,Minnesota Twins,71,91,0.43799999999999994,21.0
13,Seattle Mariners,67,95,0.414,25.0
14,New York Mets,108,54,0.667,--
15,Philadelphia Phillies,86,75,0.534,21.5
16,St. Louis Cardinals,79,82,0.491,28.5
17,Montreal Expos,78,83,0.484,29.5
18,Chicago Cubs,70,90,0.43799999999999994,37.0
19,Pittsburgh Pirates,64,98,0.395,44.0
20,Houston Astros,96,66,0.593,--
21,Cincinnati Reds,86,76,0.531,10.0
22,San Francisco Giants,83,79,0.512,13.0
23,San Diego Padres,74,88,0.457,22.0
24,Los Angeles Dodgers,73,89,0.451,23.0
25,Atlanta Braves,72,89,0.447,23.5
