,Tm,W,L,W-L%,GB
0,New York Yankees,101,61,0.623,--
1,Boston Red Sox,98,64,0.605,3.0
2,Baltimore Orioles,78,84,0.48100000000000004,23.0
3,Tampa Bay Devil Rays,70,91,0.435,30.5
4,Toronto Blue Jays,67,94,0.41600000000000004,33.5
5,Minnesota Twins,92,70,0.568,--
6,Chicago White Sox,83,79,0.512,9.0
7,Cleveland Indians,80,82,0.494,12.0
8,Detroit Tigers,72,90,0.444,20.0
9,Kansas City Royals,58,104,0.358,34.0
10,Anaheim Angels,92,70,0.568,--
11,Oakland Athletics,91,71,0.562,1.0
12,Texas Rangers,89,73,0.5489999999999999,3.0
13,Seattle Mariners,63,99,0.389,29.0
14,Atlanta Braves,96,66,0.593,--
15,Philadelphia Phillies,86,76,0.531,10.0
16,Florida Marlins,83,79,0.512,13.0
17,New York Mets,71,91,0.43799999999999994,25.0
18,Montreal Expos,67,95,0.414,29.0
19,St. Louis Cardinals,105,57,0.648,--
20,Houston Astros,92,70,0.568,13.0
21,Chicago Cubs,89,73,0.5489999999999999,16.0
22,Cincinnati Reds,76,86,0.469,29.0
23,Pittsburgh Pirates,72,89,0.447,32.5
24,Milwaukee Brewers,67,94,0.41600000000000004,37.5
25,Los Angeles Dodgers,93,69,0.574,--
26,San Francisco Giants,91,71,0.562,2.0
27,San Diego Padres,87,75,0.537,6.0
28,Colorado Rockies,68,94,0.42,25.0
29,Arizona Diamondbacks,51,111,0.315,42.0
